TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM,id
100000.0,0.01425976,0.2062459,-106.7096,0.0,189.4022,331.51800000000003,0.03360776,6.78086e238,6.78086e238,0.0002958023,0.0078013810000000005,0.011289300000000002,0.019090680000000002,0.030.050.055000.01.00.001
200000.0,0.01508617,2.3847859999999996,-712.2666,0.0,-549.1893,350.7307,-0.01280377,43247.88,43247.87,0.0008044538000000001,0.005190966,0.0051763009999999995,0.010367250000000001,0.030.050.055000.01.00.001
300000.0,0.025068240000000002,8.410314,-1466.8319999999999,0.0,-1190.312,582.7991000000001,-0.03919428,43653.469999999994,43653.42,0.001119189,0.008643951,0.008653514,0.017297460000000004,0.030.050.055000.01.00.001
400000.0,0.0350556,18.100630000000002,-2126.9109999999996,0.0,-1732.036,814.9903000000002,-0.059164270000000005,43958.17,43958.1,0.0012942090000000002,0.012184480000000001,0.01212351,0.02430801,0.030.050.055000.01.00.001
500000.0,0.04501824,30.65108,-2662.318,0.0,-2145.3869999999997,1046.607,-0.07088897,44133.020000000004,44132.95,0.00138311,0.01578152,0.01559147,0.031373019999999995,0.030.050.055000.01.00.001
600000.0,0.05006984,40.25712,-3072.931,0.0,-2488.971,1164.0490000000002,-0.08547882,171.6947,171.6092,0.0012953380000000003,0.017706870000000003,0.01737079,0.03507766,0.030.050.055000.01.00.001
700000.0,0.0500379,44.49225,-3383.2049999999995,0.0,-2794.028,1163.306,-0.1052079,469.55750000000006,469.4522999999999,0.0010988360000000002,0.01777318,0.017367760000000003,0.035140950000000004,0.030.050.055000.01.00.001
800000.0,0.05003228,47.82595,-3622.0159999999996,0.0,-3028.506,1163.176,-0.1203438,696.9759,696.8554,0.0009665553999999999,0.017844679999999998,0.017360919999999995,0.035205570000000005,0.030.050.055000.01.00.001
900000.0,0.05002613,50.40777,-3804.303,0.0,-3207.286,1163.0319999999997,-0.1318874,871.32,871.1881,0.0008542221000000001,0.01790668,0.01735832,0.03526497,0.030.050.055000.01.00.001
1.0e6,0.05002888999999999,52.39921999999999,-3946.2699999999995,0.0,-3346.3299999999995,1163.098,-0.1408537,1006.3018,1006.1609000000001,0.0007574101999999999,0.01795475,0.017370499999999997,0.03532528,0.030.050.055000.01.00.001
1.1e6,0.05002086,54.29794,-4066.1400000000003,0.0,-3463.603,1162.909,-0.1484318,1120.433,1120.2849999999999,0.0006932819,0.01799375,0.01737643,0.035370179999999994,0.030.050.055000.01.00.001
1.2e6,0.050006010000000004,55.83726,-4166.881,0.0,-3562.571,1162.565,-0.1548392,1218.201,1218.047,0.0006260681000000001,0.018025609999999997,0.01735976,0.03538535,0.030.050.055000.01.00.001
1.3e6,0.05001278,57.24393,-4253.431,0.0,-3646.9850000000006,1162.7220000000002,-0.160275,1301.279,1301.1200000000001,0.000591018,0.018065030000000003,0.01736733,0.035432389999999994,0.030.050.055000.01.00.001
1.4e6,0.05001574000000001,58.27243,-4326.018999999998,0.0,-3718.3059999999996,1162.791,-0.16487190000000002,1372.536,1372.374,0.0005513679,0.01808536,0.01736254,0.03544789,0.030.050.055000.01.00.001
1.5e6,0.049995040000000004,59.416599999999995,-4391.214999999999,0.0,-3781.959,1162.31,-0.1690094,1435.8919999999998,1435.725,0.0005306258,0.01810921,0.01736445,0.03547368,0.030.050.055000.01.00.001
1.6e6,0.05000198,60.29950000000001,-4450.34,0.0,-3839.6280000000006,1162.473,-0.1727195,1492.828,1492.657,0.00046844129999999994,0.01813682,0.01737373,0.03551054,0.030.050.055000.01.00.001
