Sq,lambda_f,lambda_o,timeStep
"[0.9316675034261153, 1.0346972851046174, 0.8484768791949302, 0.7843394046209707, 0.696093448517393, 0.7906038913938923, 0.7649822653840589, 0.9047923563707146, 0.8613961090982404, 1.1581774383780956, 1.3428377072520554, 1.350982261544217, 1.0091974474243364, 2.268687220977632, 1.4349509449113358, 0.8219676146627033, 2.5074873727736953, 4.117185151846689, 3.5908147939331445, 1.8378800909832869, 0.9995297889492769, 2.230046230365575, 5.126734859924264, 8.39645425894164, 10.746455982510177, 11.43607617312535, 10.411008861769579, 8.162266695510631, 5.476361630458706, 3.191523782370585, 2.0163524772762838, 2.425772371276673, 4.626090827182385, 8.571256145171978, 14.010787937271187, 20.552384526236473, 27.726402183934383, 35.043781020619036, 42.042800186037375, 48.32297262883097, 53.56640326021138, 57.54814751598125, 60.13769472345355, 61.29384463336625, 61.055106674296546, 59.52745692240226, 56.87092918536959, 53.28615455956467, 49.00163417743596, 44.26225039032592, 39.31929789933941, 34.42214638221088, 29.811523879614885, 25.714327741619673, 22.339819155225307, 19.87703061962, 18.493206657646816, 18.333101154646254, 19.518965734748225, 22.151079272238537, 26.308686608080457, 32.05123311821165, 39.419799832064534, 48.43866061799867]",51.245304,1,0
"[1.088588623394218, 0.9410394305359175, 0.8274972159737441, 0.9056044429536185, 0.9182612157528123, 0.9133384006441102, 0.9050900907255036, 0.9494171206886702, 0.8205892446991829, 1.3201630433177274, 1.5163142224320831, 1.4970094708780182, 1.0063152354265699, 2.464522851002325, 1.447091619903059, 0.8727504006118499, 2.9685160721131, 4.798872977185301, 4.074151523359532, 1.9669110448780567, 0.9428819353394418, 2.262768416074738, 5.4261937892302985, 8.974138372807042, 11.49001240989501, 12.191834341491052, 11.054516826927662, 8.635492395282704, 5.792722827295938, 3.419899265732438, 2.25633446978591, 2.783304243998172, 5.1945727988687675, 9.419840548825514, 15.179423909696876, 22.052107294484614, 29.54307540763414, 37.14366473889775, 44.37868065006159, 50.83999312211854, 56.20709135105747, 60.256409979798434, 62.86174297517797, 63.98813233751379, 63.68142398924853, 62.055349250931364, 59.27760645380393, 55.556040730077854, 51.12568354539566, 46.23713223746641, 41.146527272542755, 36.107217739152084, 31.363086736308748, 27.14342933830865, 23.659228260939162, 21.100648497241828, 19.63556543402095, 19.4089459200239, 20.542914214638557, 23.137351515052515, 27.270896519699413, 33.002233615183236, 40.3715736964014, 49.40224968069111]",51.245304,1,100000
"[1.0360428957926429, 0.9272666676779685, 0.857370923301666, 1.0301079849030472, 1.0929684994379383, 1.0427548196699012, 1.0433662189357915, 1.19109961304523, 1.0133656283928059, 1.3347344565188055, 1.497289631655825, 1.3534967008312888, 1.1206175216474574, 2.7882786310258476, 1.684100816600932, 0.9507656481359933, 3.083739436527738, 5.121715984573356, 4.5224106550703915, 2.311879497476534, 1.0541214223810826, 2.209325967525518, 5.392810725562131, 9.119171352703544, 11.858586692725657, 12.71330994795704, 11.594516426950884, 9.059899967359136, 6.014871969749089, 3.421072274739168, 2.082843019187171, 2.5289818263848267, 4.977690120089021, 9.361080055833748, 15.384640155035187, 22.601189029307726, 30.484634273877354, 38.494443560224795, 46.12629752349911, 52.9477003602618, 58.619459516113565, 62.9051316155954, 65.67102151841851, 66.87934741546663, 66.57693538664476, 64.88142104061417, 61.966508548679194, 58.047427442958764, 53.367367094731215, 48.18537145111179, 42.76594418711721, 37.37044187455136, 32.25021165207101, 27.641350667590682, 23.760917978549625, 20.804407351890553, 18.94428452202933, 18.329399317130814, 19.085097291438384, 21.313873843831367, 25.09643391122335, 30.493040577826726, 37.54505527666862, 46.27659003686522]",51.245304,1,200000
"[0.9876557797165048, 0.8785916394864728, 1.0557019472170153, 1.0985919463219376, 1.1244866399604037, 1.1085434484361443, 1.1060656879637425, 1.215663874783114, 1.0916030359237379, 1.615325564441534, 1.4166992427912612, 1.51747237718576, 1.3638780309586713, 2.6138619925830113, 1.7492229729674726, 1.044786304594021, 2.681599919847298, 4.3447555473081465, 3.8778917070041, 2.087185739721929, 1.113223045661756, 2.1840746786532184, 4.967126583186304, 8.192937554161139, 10.552004554823343, 11.273766529373495, 10.283434762076615, 8.069040071165038, 5.427998523558808, 3.214837772899772, 2.151959531548506, 2.7208837439605955, 5.126014147359623, 9.312082509324801, 15.01452683792937, 21.824809246196942, 29.257241906539246, 36.80861172080754, 44.00594345076803, 50.4408052862556, 55.79063055728262, 59.82874737132786, 62.425373519390135, 63.54194612259448, 63.220984782450145, 61.57336527871431, 58.7645014791026, 55.0005565046871, 50.51546519798483, 45.559265120207954, 40.38800707296302, 35.2553455634346, 30.405787885910126, 26.069499189179407, 22.458511543021032, 19.764159824093344, 18.155559531200527, 17.77894594975088, 18.757706125598943, 21.1929516322221, 25.16449875325874, 30.732141795448115, 37.9371236896897, 46.80372514426124]",51.245304,1,300000
"[1.1515724334153334, 0.8858759092421981, 0.9343425725337123, 1.2087942763853605, 1.19751702015842, 1.4908231942640924, 1.2905641290717487, 1.4215349568321975, 1.307456188694105, 1.902282984925277, 1.9384599800194966, 2.0598921603500027, 1.570293458907444, 3.198434509211958, 2.0685653413971705, 1.2003943364701182, 3.298923555311061, 5.3513858946088915, 4.705803831331453, 2.433266383885462, 1.2047357803370773, 2.518685577843573, 5.940398319755662, 9.899288905337398, 12.798591231799259, 13.713158941907016, 12.560027194694712, 9.918896538497396, 6.718372010124145, 3.936719749676188, 2.3871588491110733, 2.602145636901504, 4.801825963116158, 8.921327159947491, 14.671659884861304, 21.613836362130446, 29.23192387264576, 36.99639620723992, 44.41362054335446, 51.06049012611628, 56.60522459717691, 60.81645384535091, 63.563134805762736, 64.80784999457738, 64.59578102723214, 63.04127082441526, 60.313473066433716, 56.62219128997524, 52.20466243685159, 47.313753070321056, 42.20781229466517, 37.14225870834032, 32.36286141372341, 28.100598093255954, 24.567927586563187, 21.956292345270253, 20.434660913637288, 20.14892678208865, 21.221993387247895, 23.754392534933864, 27.825302822371665, 33.49385415110578, 40.80062311175169, 49.76924125081947]",51.245304,1,400000
"[1.1324649610870428, 0.8690932046452999, 1.079764880784525, 1.226129713545694, 1.3419831527443904, 1.510795046895474, 1.526330488710427, 1.803409301730639, 1.454707294621567, 2.074622168282295, 2.361253762066771, 2.536450961444443, 1.9730291596710603, 3.837671750101629, 2.6605034828477794, 1.4831878980938473, 3.4745931633557987, 5.659814400347551, 5.141851429929411, 2.8532602081269265, 1.5062756273440852, 2.70578180335533, 6.09087083346351, 10.103772421383677, 13.113996718043458, 14.143429398745386, 13.061054378764164, 10.418252935776815, 7.1396176024866405, 4.22022858740895, 2.50299282211752, 2.553995092442103, 4.623499741855404, 8.668449516101653, 14.411345295595186, 21.414584410820662, 29.155199657716853, 37.090609126469886, 44.71062556113888, 51.57435036599099, 57.33277291397157, 61.73912909692871, 64.64959721231607, 66.01695781271954, 65.87960738676222, 64.34793537367936, 61.589647168936466, 57.81520325935303, 53.26418001893709, 48.193055648067094, 42.86468769712498, 37.53957189732132, 32.46884736909148, 27.888931198547606, 24.017616553326846, 21.051444589993782, 19.164154313379463, 18.50602056804816, 19.20390402956274, 21.36185508573892, 25.06213344697649, 30.366525530366726, 37.31786102667173, 45.94164791344992]",51.245304,1,500000
"[1.119785589469857, 0.8793165839035131, 1.040247335000287, 1.2067987558937634, 1.4605186702174393, 1.5301748612507227, 1.6922714964309413, 1.961797367261156, 1.7092150843276628, 2.237250112126178, 2.5198560550145794, 2.6738872086346115, 2.1384328651716205, 3.8333377780199864, 2.6492531022252446, 1.7602786398218835, 3.967010940414157, 6.1130584440059845, 5.430071706627657, 3.015335569375339, 1.6369840383118004, 2.8718747997213, 6.3092787207815295, 10.355633568892241, 13.368089795209873, 14.375791161331348, 13.266054154002772, 10.610685176631902, 7.3498180300843, 4.485419493561294, 2.858075319143045, 3.0241600423576243, 5.219856887798173, 9.386824767604093, 15.233696755111268, 22.312166798918167, 30.09257956545005, 38.029782037032994, 45.614706363011635, 52.410531229104066, 58.07442745836445, 62.367075748019516, 65.15261865645799, 66.39171620786976, 66.13010747904957, 64.48468038357439, 61.62861379287837, 57.776738679666664, 53.17189964556864, 48.07279797213265, 42.7435634255538, 37.445128927256185, 32.42836109279982, 27.928820754017668, 24.16298146803881, 21.32571228874409, 19.58882668597805, 19.100506787732765, 19.985426716582833, 22.345417431724755, 26.26053582806915, 31.79042127021385, 38.975842200206934, 47.84035332190129]",51.245304,1,600000
"[1.351268156172471, 0.8539780758005802, 1.0705864961135036, 1.24955989417495, 1.4059259216062934, 1.5839808415547751, 1.7763394801530368, 2.1771666921251893, 1.825016261244718, 2.313658586669192, 2.432511675132187, 2.4533514347239143, 2.0865506884770433, 3.207489861985426, 2.371663982669878, 2.033624517825068, 4.046755731864453, 5.73507966259669, 4.993437885154067, 2.9127557965142925, 1.8528853138386876, 3.0836024085958598, 6.178756511201257, 9.729181231459284, 12.309662040429798, 13.090120163290429, 11.992873364112002, 9.54277768890233, 6.592461197434373, 4.052203255363085, 2.6894142573313684, 3.0150278534796797, 5.247193589571079, 9.33145398003125, 14.994999235526329, 21.81586986066709, 29.2930448332874, 36.90845899864559, 44.17628866965985, 50.67803971405374, 56.084091861717134, 60.16357101906301, 62.78496132689783, 63.90994576047768, 63.58275834622758, 61.91697914021924, 59.08130004331547, 55.28539571460534, 50.76668328192753, 45.77846261901635, 40.57969891366366, 35.426537147036925, 30.565516311319627, 26.228370721295004, 22.62825770243006, 19.95722719347791, 18.384742524696648, 18.05706725763329, 19.09734615842187, 21.606225859882507, 25.662880183651932, 31.326324798810383, 38.63692480430616, 47.61801627603957]",51.245304,1,700000
"[1.1323159846576523, 0.9111246724333912, 1.1128247893711907, 1.1700121990934662, 1.6503672883307317, 1.887062797714, 1.7007477115460006, 2.2963147314553254, 2.177393761490387, 2.9162472047579038, 2.618824269642981, 2.373998807867741, 2.426366718909216, 3.9634731682060274, 2.6153286537150087, 2.4324222315785717, 5.485217404914187, 7.791342617234784, 6.614755743787613, 3.5727304008690393, 1.8481386560096267, 3.113928764531241, 6.824642948203861, 11.183436212739489, 14.38960600997713, 15.403678466035409, 14.12763326627714, 11.201879962639033, 7.6557605845047165, 4.5743524840549625, 2.8589540690002324, 3.097869706931008, 5.531447719511464, 10.083180525167124, 16.42846017316845, 24.077900219917726, 32.45905603652509, 40.9868363519136, 49.11803214610453, 56.389010526504904, 62.43788717093337, 67.01369057573442, 69.97547193684542, 71.28426528609847, 70.99047429183159, 69.21880611658878, 66.15238866713605, 62.01725510426012, 57.06798929288022, 51.57500926226433, 45.81372202818639, 40.05560500545327, 34.56114643109115, 29.574498761052663, 25.319654574209363, 21.99793510319436, 19.786579650475584, 18.838233919022827, 19.281152163781943, 21.219948714821406, 24.736756465928348, 29.892671755600254, 36.72938566281765, 45.27092049817169]",51.245304,1,800000
"[1.0641572844829779, 0.8070700862683136, 1.166964419119831, 1.319767631429867, 1.5623614396984054, 1.6875727355702759, 1.9309058588246342, 2.1862460978034584, 1.9385426141257747, 3.023528873936284, 2.604225642067535, 2.5927204239866866, 2.560384617580036, 3.9499405674907937, 2.727264889459373, 2.4228724581745302, 5.2534447398425215, 7.578425469717759, 6.630291358354186, 3.805667926136557, 2.1356165057924255, 3.2747684617265698, 6.754967075576992, 10.893700192339555, 13.988328463268799, 15.045042882188774, 13.947892205920763, 11.268016734432338, 7.940060600767048, 4.9566915431675715, 3.150064358414633, 3.073367672262501, 4.967043496237908, 8.784302154584003, 14.250818817339134, 20.938275492396873, 28.337407680369566, 35.92177406308023, 43.19791350897862, 49.740742249589026, 55.21509457925109, 59.38544893615411, 62.11635374072634, 63.36609555753635, 63.17591487342967, 61.656704669505054, 58.9747148544302, 55.33738843593635, 50.98010451348434, 46.15431251172329, 41.11731380343462, 36.12377651534247, 31.418948995862046, 27.233458084310545, 23.77953104593165, 21.248456808600235, 19.80909615816036, 19.607256314847177, 20.765758533748333, 23.385044823954573, 27.544189228600363, 33.302198728533995, 40.69950765559483, 49.759586872679975]",51.245304,1,900000
