timeStep,Sq,lambda_o,lambda_f,id
0,"[1.0642339502454556, 1.0723327434073657, 1.0818746146762146, 0.929098840343339, 0.8567679258677312, 0.8396499732032007, 0.8673396341698739, 0.8013325186110671, 0.6743214273298267, 0.6940368149467687, 0.7454847518886037, 0.7046234699154534, 0.7410789533275634, 0.6715347705527247, 0.7895700200181973, 0.6995193882299374, 0.6571015727698506, 1.056203854296564, 0.7014607916596127, 0.6153602261614434, 1.2544830974339707, 1.469234705801411, 0.9511163083270123, 0.59072379328316, 0.9685796664698709, 1.703712444641853, 2.0723652910086883, 1.7766709252075474, 1.1188771976890142, 0.6607329299085947, 0.7955209551909432, 1.539188316367978, 2.5873954053816415, 3.518688011362557, 3.997999941091997, 3.892458027751015, 3.283140628585699, 2.402846745122604, 1.544174757777829, 0.9745536577905853, 0.8787082581997454, 1.33382305573394, 2.3125983659912643, 3.7048712010144396, 5.348067760950987, 7.058632529371662, 8.65925026421212, 9.999209010671443, 10.967207725345768, 11.49719150732412, 11.568483522272322, 11.20172804253841, 10.4521194105039, 9.401195176349031, 8.148209783042136, 6.801836231004188, 5.472699582450921, 4.267042586087941, 3.2816636658448783, 2.600148425510719, 2.290332197518995, 2.402876627050448, 2.9708116237343107, 4.009879706087753, 5.519518140505132, 7.484321528902746, 9.875840599093351, 12.654589544287685, 15.772152550694306, 19.173298816185127, 22.79803344587427, 26.58352846184531, 30.465893373267726, 34.381758095559526, 38.2696524012184, 42.071175553860705, 45.73195741895762, 49.20241830749124, 52.43833926972427, 55.40125770704651, 58.05870520427253, 60.38430559033324, 62.35775158732706, 63.96467816564651, 65.19645002765104, 66.04987961663038, 66.52689079564199, 66.63414194870263, 66.38262079510308, 65.78722173211622, 64.86631507513634, 63.641316179391474, 62.13626112658523, 60.37739445822055, 58.39277334374043, 56.211891589800246, 53.86532602690271, 51.38440704828519, 48.800914418230406, 46.14679890629238, 43.45392983277238, 40.75386822112204, 38.0776649366197, 35.45568293954851, 32.91744258739075, 30.491488776819047, 28.20527861560234, 26.085088250573012, 24.15593744474581, 22.44153048930894, 20.96421204988912, 19.744936577118892, 18.803249955517593, 18.157282118922513, 17.82374942250301, 17.817965628472937, 18.15386043306961, 18.844004534584474, 19.899640314892977, 21.330717278962844, 23.145931467365585, 25.35276812519962, 27.95754697654461, 30.965469516230687, 34.3806677900534, 38.206254190439154, 42.4443718468719, 47.09624523911335]",1,44.766898,id00300550000005100001500000095e625004750022383449
1111000,"[1.2786279928162037, 0.7579529231457125, 0.8018651239643656, 0.9653501875986834, 1.0293079610088276, 1.1720449564309545, 1.2769989798495402, 1.3404622585011012, 1.374411896977724, 1.4761435108674312, 1.7090349725828295, 1.9530056502592226, 1.795346578976892, 1.7434560224210804, 2.21718372879924, 2.4239641719049096, 2.3035569278148125, 2.5441118669967704, 2.227631958874966, 2.315220006779811, 3.120578914410721, 3.4048004879738363, 2.8757100346604996, 2.5075055373673036, 2.9450062535844483, 3.8012130897664624, 4.288944695599066, 4.044527357206686, 3.349103299380165, 2.794005231158052, 2.825336071112008, 3.5025780640959345, 4.538327808216789, 5.50222391370697, 6.035591065866205, 5.979893467725899, 5.39733528118007, 4.512276094854819, 3.618771815638154, 2.992715171770703, 2.830726836881726, 3.2221721373578864, 4.150019950766877, 5.511295161948479, 7.147211839811485, 8.87485352415028, 10.514947236957855, 11.91287373017226, 12.952090489779545, 13.560491642955592, 13.710962245182978, 13.417655286787229, 12.729488589834302, 11.722159957541, 10.489709939339477, 9.13638486951047, 7.769303280445436, 6.492221931676152, 5.400536985690447, 4.577538060122394, 4.091851692434904, 3.9959590203138453, 4.3256434146000515, 5.100211505776124, 6.3233306815349515, 7.984333878782444, 10.059855410216931, 12.515677444985494, 15.308683979532816, 18.388836520191898, 21.70110243883075, 25.18728251472024, 28.787698205518904, 32.44271152127582, 36.09406094881814, 39.68600571708189, 43.16627789496877, 46.48684750090482, 49.60451013082624, 52.481309744368495, 55.08481135572585, 57.38823961961945, 59.37049983822869, 61.0160978831328, 62.314975053896035, 63.262273092924964, 63.858043540039766, 64.10691442019845, 64.01772598031525, 63.60314587964213, 62.879272934859074, 61.86523725800061, 60.58280342625294, 59.05598220391582, 57.31065530891694, 55.37421678486032, 53.275233706528994, 51.043128210933986, 48.70788220407725, 46.299765540655386, 43.84908800396769, 41.38597501963347, 38.94016671237243, 36.540839652971826, 34.216450435707145, 31.994600068204907, 29.90191803972387, 27.963964854191605, 26.20515176567445, 24.648676431350403, 23.316473196086722, 22.229176739453937, 21.40609784695889, 20.865210109404693, 20.623146404951036, 20.695204075375262, 21.095357769294704, 21.83627898906864, 22.92936144339274, 24.384751373106237, 26.211382082540677, 28.41701197211656, 31.00826542926982, 33.99067599373134, 37.368731269362364, 41.1459191079548, 45.324774640490595, 49.90692777825352]",1,44.766898,id00300550000005100001500000095e625004750022383449
2222000,"[1.310814045312663, 0.7373771826511258, 0.8076333710049763, 0.9287476572106989, 0.9710084362162935, 1.1752842838295163, 1.399315878369134, 1.3872545951397328, 1.5532413197866584, 1.5976782269573828, 1.616052961659606, 2.098658727586595, 1.954195897289742, 2.002780503493819, 2.455746459843564, 2.6796124728911597, 2.203223822231101, 2.6854420994832227, 2.4104112061338774, 2.3030132612271044, 3.3294088822908505, 4.01744009210945, 3.5850628168110865, 3.065780104443349, 3.410086973567681, 4.322443055291697, 4.898132328994752, 4.669523492318644, 3.937529211032865, 3.3896295189936603, 3.549332564873354, 4.481172886122281, 5.836379998212814, 7.096668051325272, 7.8307289535052025, 7.84750734934887, 7.220724796601724, 6.218923429327923, 5.194922007577525, 4.48047166530317, 4.312619477759679, 4.799612488613931, 5.921470842383168, 7.554335573362437, 9.50676373056412, 11.558148984630904, 13.492583605126242, 15.124575454652598, 16.315505128729374, 16.981381530359407, 17.09339391985455, 16.673131984533843, 15.784338038462264, 14.522827655161748, 13.005887268796535, 11.362109868804607, 9.722310129867079, 8.21189131903369, 6.94482535379481, 6.019252263076495, 5.514599005457086, 5.490051258573066, 5.9841764739533945, 7.015484118508201, 8.58371278068202, 10.671648222471443, 13.247297266136115, 16.266266448661053, 19.674219376065, 23.40931108771045, 27.40452046926687, 31.589822217108175, 35.89415774716638, 40.24717966715115, 44.58075705390595, 48.83023895890385, 52.93548152694844, 56.84165011052119, 60.499812060385594, 63.86733873367213, 66.90813693153689, 69.59273068726537, 71.89821427637422, 73.80809669166754, 75.3120567720368, 76.40562682363411, 77.08982103309611, 77.370723331631, 77.25904769489314, 76.76968220986564, 75.92122664625676, 74.73553176473484, 73.23724719690618, 71.45338345394877, 69.41289246791153, 67.14627004283456, 64.68518268946654, 62.06212053226627, 59.3100773035787, 56.46225786920041, 53.55181325314641, 50.611602738179855, 47.67398230348786, 44.770618412945105, 41.93232597829613, 39.188929183429536, 36.569143761428236, 34.10047925860806, 31.809159793305152, 29.720061816354654, 27.85666740026757, 26.2410316208708, 24.893762644985443, 23.834013197429424, 23.079482147556917, 22.646425027396106, 22.549672368306485, 22.802654819351233, 23.417434086963517, 24.404738810920303, 25.77400456528493, 27.53341724418645, 29.6899591605771, 32.24945725109472, 35.2166328416053, 38.59515248577107, 42.387679443007556, 46.5959254124556]",1,44.766898,id00300550000005100001500000095e625004750022383449
3333000,"[1.2732857384405953, 0.640911901648985, 0.7651370683957792, 0.8526364554548082, 0.9123151095407472, 1.1128667930997016, 1.2931967685353847, 1.1969762580524774, 1.5162086601910418, 1.5327115047940596, 1.556713204446637, 2.0597009450555537, 2.0572570242031203, 1.9630470976801888, 2.2984858214515524, 2.5518314037263243, 2.4910029632489206, 3.0448364483640034, 2.7277326619735227, 2.8084229558760834, 3.9076085620302847, 4.324062848913575, 3.51087083607142, 2.835873124004011, 3.37808234719842, 4.721773801966072, 5.720206180669307, 5.708110114925068, 4.927931842797345, 4.138883951285082, 3.9957739442225777, 4.681177040468958, 5.910421723455443, 7.1703397274849845, 7.9930542693531414, 8.13324262994949, 7.612793217428957, 6.662885122444507, 5.617617017188398, 4.807297596702078, 4.480556849153188, 4.765185673057291, 5.6640909899192655, 7.076034855349692, 8.829438377228328, 10.719304526661427, 12.540371914566881, 14.112711087730338, 15.298479060890706, 16.01025695347421, 16.212364030974054, 15.916935305926504, 15.176557217637482, 14.075040480227859, 12.717593405903662, 11.221323898127922, 9.706690881927761, 8.290268629971719, 7.078986726168179, 6.165861516862146, 5.627134525890337, 5.520670590796081, 5.8854347050032345, 6.741854019149294, 8.0928737754653, 9.92552806390938, 12.212864335641203, 14.916081732061157, 17.986765439650878, 21.369121048601972, 25.002133346201234, 28.82159254556325, 32.761947334149355, 36.757958213958915, 40.74613642031311, 44.665963363709515, 48.46089321219749, 52.07914712614614, 55.47431199401092, 58.60575951914872, 61.438903388469676, 63.94531321423077, 66.10270416311717, 67.89482083439623, 69.3112331631528, 70.34706102676623, 71.00264292479902, 71.28316266831769, 71.19824652209756, 70.7615417455734, 69.99028601667735, 68.90487582710333, 67.5284406293316, 65.8864283088425, 64.00620645726467, 61.91668293690726, 59.64794835372198, 57.23094229095172, 54.69714449427545, 52.07829163450383, 49.40611979830004, 46.712132463019, 44.02739339046516, 41.38234361814358, 38.80664152768855, 36.329024821265776, 33.97719313102172, 31.77770991778538, 29.75592227749381, 27.93589726202573, 26.34037333068714, 24.990725575414828, 23.90694340327187, 23.107619410894262, 22.609948244536547, 22.429734303964292, 22.58140721672379, 23.078044079663318, 23.93139753564784, 25.15192882410514, 26.7488450134894, 28.73013969125097, 31.1026364519279, 33.87203458612856, 37.04295643216867, 40.618995907781496, 44.60276779152829, 48.995957372260406]",1,44.766898,id00300550000005100001500000095e625004750022383449
4444000,"[1.4773232382684025, 0.6362846703227772, 0.7533990114853238, 0.9055639370880617, 0.953678629666848, 1.018944209484525, 1.0842082739152084, 1.325715372303566, 1.4111569144302198, 1.6084191374521752, 1.541235458957782, 1.9694006502615296, 2.2280421450452987, 2.2386090316275693, 2.4688827400551183, 2.702838711860778, 2.438893388327449, 2.835555274702556, 2.671051727643315, 2.648100229965894, 3.38094288510349, 3.804332252123633, 3.4690805794110777, 3.218924571440018, 3.73103313260735, 4.688867375352804, 5.32874047003027, 5.2694247460984105, 4.756450403285863, 4.343765870160526, 4.454873933131983, 5.1532549443191655, 6.1791094327358875, 7.1367432774004715, 7.690455596655809, 7.682724131881448, 7.156362609852231, 6.305848596157091, 5.397023023945965, 4.688604283137272, 4.375323368980848, 4.559196057895591, 5.246239251615307, 6.361357662091163, 7.773138775019205, 9.32145078973739, 10.842796531503714, 12.190505052449282, 13.248604647683955, 13.939466116528687, 14.226053569084398, 14.10997109213094, 13.626566126442762, 12.838251742394357, 11.827023201456857, 10.68692669961886, 9.517025652685806, 8.415221640573575, 7.473131442898718, 6.772099875008047, 6.380337953405078, 6.351113055255775, 6.721877386278932, 7.514198550202437, 8.734347098341848, 10.374397005095016, 12.413703058162213, 14.820631745439483, 17.55443745496348, 20.567192216761164, 23.805693718323624, 27.213292141850346, 30.73159097728787, 34.301990038012214, 37.86705028057654, 41.37166966042116, 44.76406718343395, 47.996578641327126, 51.026272389006444, 53.815397098916186, 56.3316758844551, 58.54846269508819, 60.44477761526599, 62.005237800916355, 63.21990039918271, 64.08403304076079, 64.5978264742816, 64.76606271693825, 64.59775079778932, 64.1057408286655, 63.306325798592276, 62.218839186418485, 60.86525524884036, 59.26979768528985, 57.458561318797464, 55.459150469267556, 53.30033683481058, 51.011738936847344, 48.62352452223405, 46.16613674554817, 43.67004447064542, 41.16551662567532, 38.682420212599226, 36.25004130348304, 33.896928144173316, 31.650755324426164, 29.538207855560962, 27.584883916124724, 25.815214977273936, 24.25240199749371, 22.918366376315863, 21.83371437478864, 21.017713743006315, 20.488281338889216, 20.261980574904438, 20.35402758820051, 20.778305092719194, 21.547382937575684, 22.67254446297931, 24.163817812057314, 26.03001142322292, 28.278752992456134, 30.916531257468712, 33.9487400157725, 37.379723845836914, 41.212825054601815, 45.450431425463876, 50.09402438841951]",1,44.766898,id00300550000005100001500000095e625004750022383449
5556000,"[1.2725656345217877, 0.6368468301699898, 0.7507410222317314, 0.9643076846259555, 0.9765454455633495, 1.162050877747722, 1.2680457152039077, 1.282477778890498, 1.5313944232716106, 1.4804936143213296, 1.5459372146122394, 1.8288389391651456, 2.1332932572636865, 2.1614535771407986, 2.247412784856663, 2.269906264912904, 2.447181612632155, 3.079967207277553, 2.778974493985813, 2.6528615032852563, 3.4870974775539287, 4.084082418384134, 3.7636799796153073, 3.3138540904217675, 3.573601089253327, 4.385995352398889, 4.9897586077702085, 4.909350941986982, 4.333565919960096, 3.8485669231743707, 3.9540509540843645, 4.765243253957367, 6.016464599651822, 7.259250974975587, 8.090422421372551, 8.299286738657699, 7.90356022755686, 7.099560817106837, 6.172368438208406, 5.406218042058802, 5.019212886996864, 5.13027824599686, 5.7551109158987686, 6.8224755404676, 8.201210991904347, 9.729872294665267, 11.243478493572448, 12.594355575124876, 13.666060846560233, 14.380714291804432, 14.700806703253084, 14.62684896858325, 14.192226749357195, 13.456459809141524, 12.497829322223653, 11.406089530547922, 10.27575537321526, 9.200270017179175, 8.26720900945719, 7.55456830314649, 7.1281061833544035, 7.0396579265620804, 7.326311018339953, 8.01031289469139, 9.099578349996126, 10.588666718811627, 12.46010717083374, 14.685962031867556, 17.229531500683848, 20.047117380893436, 23.08977768492846, 26.305017617358565, 29.63837511071667, 33.03487051557905, 36.44030009792369, 39.80236161924252, 43.07160748439243, 46.20222680421405, 49.15266233455927, 51.886071742626605, 54.37064514932039, 56.57979254037814, 58.492215564495176, 60.09187857190349, 61.36789361014047, 62.31433359147841, 62.92998707228758, 63.21806711908478, 63.185885647172434, 62.844503461729396, 62.20836505325027, 61.29492603491343, 60.12427998586377, 58.71879040129876, 57.102732461270236, 55.301948423800745, 53.34351962868732, 51.25545736738163, 49.06641423023812, 46.80541698196737, 44.50162153473134, 42.18409018047427, 39.88159090376015, 37.62241831727605, 35.434235537923556, 33.343936145842164, 31.377525235834774, 29.56001847486861, 27.91535801539669, 26.466344077377382, 25.234580997721395, 24.240436550554026, 23.503013361665857, 23.040131272767695, 22.86831955298512, 23.00281790409574, 23.45758526033314, 24.2453154414566, 25.37745877778271, 26.864248886802525, 28.714733841885895, 30.936811033605913, 33.53726508276926, 36.52180822082091, 39.89512260752427, 43.66090410743765, 47.82190709552389, 52.379989908133275]",1,44.766898,id00300550000005100001500000095e625004750022383449
6667000,"[1.3355488605354846, 0.7346544396032799, 0.7683194502756813, 0.9097953010365875, 1.021739514881504, 1.1239621892400453, 1.3262946687839638, 1.4141285930533303, 1.3995513769190104, 1.7149060291944278, 1.6945614130185394, 1.984761406693267, 1.8110088591899076, 2.029937573672984, 2.377909474639632, 2.4533124036971143, 2.4328577895570938, 3.140626242461944, 2.8585757585579357, 2.7815291102772224, 3.8552334605895577, 4.568602830145983, 4.1101585823759095, 3.544318463222075, 3.934751137720588, 5.050344469418302, 5.918344900905659, 5.9317800296023915, 5.289648814447653, 4.670769735370463, 4.667872400785213, 5.4393314534727555, 6.703659018191777, 7.958074842673214, 8.73935017774468, 8.800529771098226, 8.163044552932083, 7.066801355725096, 5.867104555762855, 4.925212945413754, 4.523492312410955, 4.818135382628975, 5.828573541419425, 7.454832031675511, 9.51142692850422, 11.76723059996831, 13.98330887323756, 15.94376268944259, 17.477314350643308, 18.46941699261694, 18.865975771304075, 18.6704471293798, 17.936286956163567, 16.756611849533076, 15.252657179070832, 13.562263279178405, 11.829264828374578, 10.194338176000478, 8.787596227752323, 7.723015772789915, 7.094634696103077, 6.974358834603647, 7.4111610550081215, 8.431429154251665, 10.040215971932005, 12.22315750555396, 14.948847070308643, 18.17148120301771, 21.833622792446786, 25.868956511166722, 30.204939488454453, 34.76527535978165, 39.47216186492032, 44.24828087577979, 49.018515172757844, 53.71138865688739, 58.260236274307886, 62.60411707395634, 66.68848886688524, 70.46566624682507, 73.8950855858762, 76.94340132651324, 79.58443770796362, 81.79901921332018, 83.57470169144133, 84.90542445089824, 85.79110176906434, 86.23717030921199, 86.25410697102942, 85.85692977492448, 85.06469254133248, 83.89998240315897, 82.38842760181448, 80.5582215757698, 78.4396680591977, 76.06475076596521, 73.46673023613306, 70.67976956066038, 67.73858996587629, 64.67815662207843, 61.53339452944101, 58.33893391826011, 55.12888426867176, 51.936635797016024, 48.794687062293235, 45.7344972076562, 42.786361260374896, 39.979306861728844, 37.341010779164726, 34.8977335608519, 32.674270722275224, 30.693918901165976, 28.97845547695375, 27.548130220649515, 26.421667617780397, 25.616278588270937, 25.147680410997648, 25.030123745476004, 25.276425727427313, 25.898008197741415, 26.9049402047553, 28.305983997164585, 30.10864379879455, 32.31921672655026, 34.942845278919734, 37.98357088430651, 41.444388056178354, 45.32729875556424]",1,44.766898,id00300550000005100001500000095e625004750022383449
7778000,"[1.408808256986437, 0.6499415572600196, 0.7372873458108617, 0.8019221431870411, 0.9913650768501835, 1.0773411996662212, 1.1382483637471774, 1.4376413309081728, 1.2890955422602703, 1.6547362106744734, 1.566631256865554, 1.9506922693474007, 2.085184687696318, 2.0496561490257763, 2.152928218943247, 2.1817049030684283, 2.5392684612106278, 3.2313039523678104, 2.941511269035803, 2.8658277744433085, 3.7153782004211817, 4.346606103335181, 4.168739572472371, 3.8704178730181784, 4.136622238587312, 4.8220794000899305, 5.3095112146164425, 5.225559106139691, 4.735647634338479, 4.327260478554549, 4.416777661359342, 5.1005366368323175, 6.151577255690958, 7.183020914909194, 7.844168931715798, 7.952920375133305, 7.533045575085906, 6.773819681418911, 5.949916115458678, 5.337548942163093, 5.150252233281369, 5.503691552376999, 6.408385352014828, 7.783431462846332, 9.48254183624737, 11.324462008607222, 13.121848326916172, 14.70493883950902, 15.938337762054502, 16.730712606662603, 17.03815323371243, 16.862442500994746, 16.24565455482208, 15.262442924149646, 14.011200599630506, 12.605037755587118, 11.163276347403016, 9.803932656704367, 8.637463584467858, 7.761895554769953, 7.259335995912382, 7.193782970941122, 7.6100935463904404, 8.533940364438465, 9.972573255315272, 11.916203769565183, 14.339841098033718, 17.205424592447784, 20.464118316929, 24.058654700875707, 27.925635923905812, 31.99772209786991, 36.20565394223091, 40.48007408983083, 44.75312524278072, 48.959815116576905, 53.03914757077295, 56.935026706295844, 60.59694623540817, 63.980480342795026, 67.04759480051347, 69.76679851169266, 72.11315615711786, 74.06818240273601, 75.61963736838959, 76.76124190800583, 77.49232983463945, 77.81745264363826, 77.74595062708336, 77.29150259802758, 76.4716648038927, 75.30740804148326, 73.82266051720828, 72.0438626420026, 69.99953872058214, 67.71988939279186, 65.23640771026997, 62.58152088053945, 59.78825897668509, 56.88995128615536, 53.91995044813011, 50.911384096030865, 47.89693337071778, 44.90863739146908, 41.97772255710118, 39.13445539019123, 36.40801752553427, 33.826401372572946, 31.416324944133013, 29.203164334575412, 27.210902344302124, 25.462091779895918, 23.97783200608244, 22.777757383757613, 21.880036294601943, 21.301379524808183, 21.05705685609562, 21.16092078972634, 21.62543640724727, 22.46171644899465, 23.679560767090244, 25.28749938300765, 27.292838450243078, 29.70170848978938, 32.51911432969953, 35.74898623987076, 39.39423180918565, 43.45678816429876]",1,44.766898,id00300550000005100001500000095e625004750022383449
8889000,"[1.2473592898307488, 0.6711331219139218, 0.8009039900307569, 0.8661589622174488, 0.8712122169766447, 1.0990192548503157, 1.3136834338188694, 1.3355692058504438, 1.6108217881733162, 1.6455130282252366, 1.6027906987876552, 1.9896973205212238, 2.182366104366593, 2.063093652916516, 2.092698255326852, 2.321946798682416, 2.5138698030844484, 3.0868907475780474, 2.9729179880364076, 2.908995963137818, 3.434741683802716, 3.6921189277691293, 3.3654475210815677, 3.222098079903934, 3.8517200123673545, 4.893566429449245, 5.538063052604469, 5.393711940380993, 4.78349663890192, 4.38930993891071, 4.718989836661123, 5.816836273037453, 7.314183387264164, 8.678597413100542, 9.472785577450901, 9.506582272374759, 8.858659802342506, 7.804490784819216, 6.705206693478141, 5.902593936762633, 5.645794452877752, 6.056895076678614, 7.130395240207449, 8.755913715359123, 10.752729643965365, 12.906733101263537, 15.003365956213084, 16.85307182953382, 18.308108638330108, 19.27115836772021, 19.697063289702903, 19.58938457009526, 18.9934912769015, 17.987694085421033, 16.6736494477902, 15.166950353373878, 13.588532320053442, 12.05727919134313, 10.684019558196162, 9.56695961751342, 8.78849616988556, 8.413286763504802, 8.48741514327826, 9.038472310604977, 10.07637082489418, 11.594717762414716, 13.572586285773752, 15.976544239678152, 18.7628184739422, 21.87949418692112, 25.268668428075816, 28.86849530290066, 32.61507696750451, 36.44416897091593, 40.292680839946634, 44.099963052037786, 47.80887982808676, 51.36667366939932, 54.72563245696614, 57.84357343463529, 60.684160717387954, 63.21707430010511, 65.41804907509629, 67.26880226488827, 68.75686708779962, 69.87534952544492, 70.62262386211397, 71.00198130641223, 71.02124455945072, 70.69235972011994, 70.0309754623337, 69.05601801602856, 67.78926915799389, 66.25495318715596, 64.47933773207905, 62.49035222129399, 60.3172269406337, 57.99015480394523, 55.53997726994477, 52.99789524256457, 50.395205287810356, 47.76306107919098, 45.13225963822793, 42.53305165841861, 39.99497498255352, 37.54671013705639, 35.21595670607218, 33.02932924591846, 31.012271391361764, 29.188986783634707, 27.582385451408673, 26.214044295837095, 25.104180365559337, 24.27163565395254, 23.733872206133558, 23.50697638483144, 23.60567121023393, 24.0433357575391, 24.832030665788277, 25.98252888144665, 27.504350829184464, 29.40580326964079, 31.69402116903478, 34.375011967888454, 37.4537016955097, 40.93398243304575, 44.81876068071535, 49.11000623420435]",1,44.766898,id00300550000005100001500000095e625004750022383449
10000000,"[1.326141549227858, 0.6284291440019463, 0.7670742630681593, 0.8100953490513411, 1.0247552488839597, 1.0801489155102029, 1.4652027162078614, 1.6389548257899165, 1.4552670741928853, 1.5399176751676131, 1.7415180048675254, 2.075736843185276, 2.1334604784562003, 2.296003055714792, 2.771160784735486, 2.7475523047335204, 2.8163065266123444, 3.5775737117757593, 2.973585374673241, 3.1812920311668598, 4.832267413940728, 5.332683132935079, 4.09867763489645, 3.1880599168454298, 3.9544905754601882, 5.605424416415131, 6.564568103658006, 6.158015254422535, 4.987058110166814, 4.19805831138523, 4.593670475866969, 6.217395870418169, 8.476755654448056, 10.544379187142601, 11.749128273579709, 11.796010606421017, 10.79164803409671, 9.134361831232638, 7.349871138079089, 5.937826031128579, 5.265369746853718, 5.517461152718145, 6.6963061826324175, 8.654291224303734, 11.143808312138988, 13.870288370841445, 16.53915748731637, 18.89173012680303, 20.7284722186197, 21.92038054718344, 22.41052473659096, 22.208314237674358, 21.379040452037184, 20.030925848125136, 18.301455383772083, 16.344283200453834, 14.317565757004841, 12.374203710892171, 10.654188724921156, 9.279044298640418, 8.348211127197397, 7.937144244837345, 8.096848213283629, 8.854566156917475, 10.215348775238095, 12.164252874425962, 14.668949632217956, 17.68255652654101, 21.146540699804085, 24.993573588550642, 29.150245772425748, 33.539576589649904, 38.08327491964954, 42.703725701078476, 47.32569145720856, 51.87772966134109, 56.29333556244854, 60.51182649028631, 64.4789880457931, 68.14750530954207, 71.47720358922984, 74.43512356142489, 76.99545519041416, 79.13935373877419, 80.85465969668753, 82.13554269501907, 82.98208754768628, 83.39983858424537, 83.3993164550419, 82.99551967199717, 82.20742132642678, 81.05746972726719, 79.57110014487641, 77.77626343550364, 75.70297606182825, 73.3828949133113, 70.84891936076465, 68.13482214446809, 65.27490998474514, 62.30371420766219, 59.255711185561566, 56.16507199159849, 53.06544034873805, 49.98973770666665, 46.96999409530605, 44.03720327231738, 41.221200596133095, 38.55056200840773, 36.052522493861964, 33.75291239554245, 31.67610999448761, 29.845008810264233, 28.280998139011917, 27.003955415231303, 26.032249059812074, 25.38275055737187, 25.070854588930885, 25.11050612967341, 25.514233504749026, 26.293186477701767, 27.457178525371507, 29.014732529366103, 30.97312918699556, 33.33845751357295, 36.11566687300918, 39.308620034554316, 42.92014681033014, 46.95209788098756]",1,44.766898,id00300550000005100001500000095e625004750022383449
