poreDomain,histLength,phi,CL-Con,Temperature,damp,N_heat,N_isot,timeStep
0.0,0.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
0.2,0.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
0.4,1.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
0.6,3.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
0.8,11.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
1.0,11.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
1.2,12.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
1.4,16.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
1.6,20.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
1.8,16.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
2.0,25.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
2.2,31.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
2.4,29.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
2.6,35.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
2.8,41.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
3.0,40.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
3.2,52.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
3.4,46.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
3.6,56.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
3.8,68.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
4.0,69.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
4.2,83.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
4.4,76.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
4.6,75.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
4.8,104.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
5.0,106.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
5.2,105.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
5.4,116.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
5.6,133.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
5.8,162.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
6.0,151.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
6.2,183.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
6.4,163.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
6.6,179.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
6.8,214.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
7.0,205.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
7.2,207.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
7.4,214.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
7.6,236.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
7.8,236.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
8.0,280.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
8.2,253.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
8.4,315.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
8.6,340.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
8.8,351.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
9.0,332.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
9.2,389.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
9.4,341.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
9.6,380.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
9.8,385.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
10.0,435.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
10.2,428.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
10.4,453.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
10.6,454.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
10.8,457.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
11.0,509.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
11.2,542.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
11.4,519.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
11.6,522.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
11.8,569.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
12.0,569.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
12.2,598.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
12.4,618.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
12.6,641.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
12.8,615.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
13.0,667.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
13.2,691.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
13.4,720.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
13.6,782.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
13.8,735.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
14.0,777.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
14.2,835.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
14.4,851.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
14.6,884.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
14.8,836.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
15.0,816.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
15.2,960.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
15.4,954.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
15.6,1032.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
15.8,980.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
16.0,1019.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
16.2,992.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
16.4,1022.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
16.6,1061.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
16.8,1122.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
17.0,1073.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
17.2,1157.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
