poreDomain,histLength,phi,CL-Con,Temperature,damp,N_heat,N_isot,timeStep
0.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
0.5,3.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
1.0,2.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
1.5,1.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
2.0,5.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
2.5,3.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
3.0,3.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
3.5,4.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
4.0,5.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
4.5,6.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
5.0,4.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
5.5,6.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
6.0,5.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
6.5,13.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
7.0,4.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
7.5,9.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
8.0,11.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
8.5,16.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
9.0,16.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
9.5,22.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
10.0,20.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
10.5,23.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
11.0,16.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
11.5,26.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
12.0,34.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
12.5,47.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
13.0,44.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
13.5,47.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
14.0,40.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
14.5,47.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
15.0,44.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
15.5,56.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
16.0,76.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
16.5,65.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
17.0,63.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
17.5,75.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
18.0,65.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
18.5,78.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
19.0,78.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
19.5,80.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
20.0,99.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
20.5,87.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
21.0,91.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
21.5,124.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
22.0,115.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
22.5,98.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
23.0,129.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
23.5,132.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
24.0,130.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
24.5,141.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
25.0,162.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
25.5,150.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
26.0,148.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
26.5,147.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
27.0,193.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
27.5,174.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
28.0,191.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
28.5,193.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
29.0,201.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
29.5,199.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
30.0,238.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
30.5,201.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
31.0,274.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
31.5,251.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
32.0,272.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
32.5,226.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
33.0,245.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
33.5,209.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
34.0,226.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
34.5,216.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
35.0,212.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
35.5,216.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
36.0,203.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
36.5,205.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
37.0,204.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
37.5,174.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
38.0,178.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
