poreDomain,histLength,phi,CL-Con,Temperature,damp,N_heat,N_isot
0.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
0.2,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
0.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
0.6,1.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
0.8,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
1.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
1.2,1.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
1.4,1.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
1.6,1.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
1.8,1.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
2.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
2.2,4.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
2.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
2.6,3.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
2.8,1.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
3.0,2.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
3.2,2.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
3.4,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
3.6,2.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
3.8,2.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
4.0,4.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
4.2,1.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
4.4,3.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
4.6,2.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
4.8,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
5.0,4.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
5.2,4.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
5.4,1.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
5.6,2.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
5.8,3.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
6.0,5.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
6.2,4.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
6.4,4.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
6.6,2.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
6.8,5.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
7.0,3.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
7.2,5.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
7.4,3.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
7.6,4.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
7.8,7.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
8.0,6.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
8.2,9.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
8.4,2.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
8.6,8.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
8.8,2.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
9.0,4.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
9.2,8.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
9.4,6.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
9.6,4.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
9.8,7.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
10.0,12.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
10.2,5.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
10.4,7.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
10.6,12.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
10.8,10.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
11.0,13.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
11.2,9.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
11.4,9.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
11.6,10.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
11.8,13.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
12.0,16.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
12.2,13.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
12.4,19.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
12.6,13.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
12.8,27.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
13.0,11.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
13.2,20.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
13.4,19.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
13.6,12.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
13.8,17.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
14.0,13.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
