Nclustres,Maxparticles
5000,1
4761,4
4218,6
3620,8
3080,11
2597,13
2232,17
1950,21
1731,24
1551,25
1394,29
1268,38
1156,45
1066,44
984,49
917,53
850,63
789,76
734,84
685,98
646,108
609,128
573,137
537,163
508,163
476,175
450,199
424,214
401,235
380,257
358,326
339,343
320,431
303,465
289,500
274,528
259,587
248,690
238,786
227,823
217,1073
208,1120
199,1331
190,1563
181,1747
172,2086
166,2217
157,2326
151,2498
145,2497
139,2729
132,2830
125,3003
120,3060
116,3096
111,3168
105,3439
101,3627
97,3757
94,3714
90,3774
87,3810
85,3924
83,3982
80,4021
78,4063
76,4091
73,4130
70,4203
68,4215
66,4272
65,4289
63,4298
61,4312
60,4323
58,4325
55,4360
54,4379
52,4408
50,4426
50,4452
48,4473
46,4488
44,4551
43,4575
42,4568
41,4599
39,4629
40,4628
39,4632
38,4662
37,4673
36,4675
35,4682
34,4696
33,4704
33,4706
32,4711
30,4726
30,4734
