TimeStep,Nclustres,Maxparticles
0,5000,1
101000,4506,5
202000,3549,9
303000,2711,13
404000,2070,17
505000,1607,29
606000,1284,37
707000,1048,69
808000,877,90
909000,746,122
1010000,638,154
1111000,558,168
1212000,480,284
1313000,419,370
1414000,365,556
1515000,323,857
1616000,287,1089
1717000,252,1437
1818000,224,1953
1919000,196,2766
2020000,176,2995
2121000,158,3321
2222000,142,3626
2323000,133,3724
2424000,121,3856
2525000,112,4016
2626000,103,4118
2727000,95,4187
2828000,88,4273
2929000,80,4410
3030000,74,4475
3131000,69,4520
3232000,64,4555
3333000,60,4590
3434000,55,4614
3535000,53,4625
3636000,49,4648
3737000,46,4664
3838000,42,4684
3939000,41,4700
4040000,37,4718
4141000,35,4745
4242000,33,4763
4343000,32,4772
4444000,32,4771
4545000,30,4799
4646000,28,4815
4747000,27,4830
4848000,27,4834
4949000,25,4850
5050000,25,4853
5151000,23,4865
5252000,23,4867
5353000,21,4870
5454000,20,4874
5555000,19,4880
5656000,19,4886
5757000,18,4886
5858000,17,4893
5959000,17,4896
6060000,16,4901
6161000,15,4905
6262000,15,4902
6363000,15,4902
6464000,14,4914
6565000,13,4917
6666000,12,4923
6767000,12,4924
6868000,12,4926
6969000,11,4933
7070000,11,4932
7171000,11,4939
7272000,11,4938
7373000,11,4935
7474000,11,4935
7575000,11,4937
7676000,11,4938
7777000,10,4943
7878000,10,4947
7979000,10,4947
8080000,9,4950
8181000,9,4954
8282000,9,4954
8383000,8,4957
8484000,8,4960
8585000,8,4960
8686000,8,4961
8787000,8,4962
8888000,7,4963
8989000,7,4964
9090000,7,4964
9191000,7,4964
9292000,7,4964
9393000,6,4966
9494000,6,4965
9595000,6,4965
9696000,6,4966
9797000,5,4972
9898000,5,4972
10000000,5,4972
