TimeStep,Nclustres,Maxparticles
0,5000,1
101000,4635,5
202000,3868,7
303000,3134,10
404000,2512,14
505000,2030,22
606000,1677,28
707000,1407,37
808000,1205,42
909000,1054,53
1010000,930,60
1111000,825,77
1212000,735,99
1313000,664,125
1414000,599,172
1515000,541,210
1616000,490,249
1717000,443,296
1818000,408,393
1919000,373,499
2020000,341,533
2121000,312,632
2222000,285,844
2323000,262,1007
2424000,242,1251
2525000,223,1660
2626000,204,1936
2727000,189,2365
2828000,174,2596
2929000,162,2821
3030000,150,3168
3131000,139,3398
3232000,130,3486
3333000,122,3616
3434000,114,3802
3535000,107,3901
3636000,100,3952
3737000,94,4042
3838000,88,4088
3939000,83,4168
4040000,79,4227
4141000,72,4305
4242000,68,4376
4343000,64,4410
4444000,61,4448
4545000,58,4462
4646000,55,4491
4747000,52,4533
4848000,50,4549
4949000,47,4581
5050000,45,4604
5151000,43,4637
5252000,41,4661
5353000,39,4676
5454000,37,4681
5555000,36,4688
5656000,35,4705
5757000,33,4741
5858000,31,4765
5959000,30,4775
6060000,29,4793
6161000,28,4803
6262000,27,4807
6363000,27,4806
6464000,26,4816
6565000,25,4820
6666000,24,4827
6767000,23,4833
6868000,22,4836
6969000,21,4842
7070000,21,4852
7171000,20,4855
7272000,20,4857
7373000,19,4858
7474000,18,4861
7575000,18,4863
7676000,17,4872
7777000,16,4877
7878000,16,4877
7979000,16,4878
8080000,16,4879
8181000,16,4876
8282000,16,4874
8383000,15,4873
8484000,15,4874
8585000,15,4876
8686000,14,4878
8787000,14,4883
8888000,14,4884
8989000,13,4888
9090000,12,4895
9191000,12,4905
9292000,11,4909
9393000,11,4917
9494000,10,4923
9595000,10,4932
9696000,10,4934
9797000,9,4936
9898000,9,4937
10000000,9,4938
