TimeStep,Nclustres,Maxparticles
0,5000,1
101000,4384,5
202000,3259,9
303000,2380,16
404000,1756,25
505000,1303,38
606000,1000,66
707000,798,89
808000,654,141
909000,540,195
1010000,454,334
1111000,382,554
1212000,324,790
1313000,276,1428
1414000,233,1845
1515000,200,2631
1616000,173,3142
1717000,152,3494
1818000,132,3749
1919000,119,3929
2020000,107,4033
2121000,93,4218
2222000,85,4330
2323000,77,4420
2424000,68,4522
2525000,63,4563
2626000,58,4603
2727000,52,4650
2828000,47,4691
2929000,42,4715
3030000,39,4747
3131000,36,4770
3232000,33,4798
3333000,30,4811
3434000,28,4823
3535000,26,4830
3636000,25,4838
3737000,23,4847
3838000,22,4868
3939000,21,4879
4040000,19,4884
4141000,19,4890
4242000,18,4899
4343000,18,4897
4444000,17,4905
4545000,16,4913
4646000,15,4920
4747000,15,4925
4848000,14,4930
4949000,13,4930
5050000,13,4936
5151000,12,4936
5252000,12,4937
5353000,12,4937
5454000,11,4935
5555000,10,4939
5656000,10,4939
5757000,10,4940
5858000,9,4945
5959000,9,4949
6060000,8,4952
6161000,7,4957
6262000,7,4951
6363000,6,4954
6464000,6,4960
6565000,6,4970
6666000,6,4968
6767000,6,4970
6868000,6,4970
6969000,6,4971
7070000,6,4970
7171000,6,4974
7272000,6,4973
7373000,5,4975
7474000,5,4976
7575000,5,4976
7676000,5,4979
7777000,5,4979
7878000,5,4980
7979000,5,4980
8080000,5,4980
8181000,5,4979
8282000,5,4979
8383000,4,4982
8484000,4,4982
8585000,4,4982
8686000,5,4981
8787000,4,4982
8888000,4,4982
8989000,4,4984
9090000,4,4987
9191000,4,4988
9292000,4,4987
9393000,4,4987
9494000,4,4988
9595000,4,4988
9696000,4,4988
9797000,4,4988
9898000,4,4988
10000000,4,4987
