TimeStep,Nclustres,Maxparticles
0,5000,1
101000,4886,3
202000,4593,4
303000,4236,6
404000,3856,7
505000,3488,8
606000,3154,10
707000,2882,11
808000,2653,13
909000,2459,14
1010000,2287,16
1111000,2138,17
1212000,2008,20
1313000,1888,21
1414000,1786,23
1515000,1692,25
1616000,1603,28
1717000,1521,30
1818000,1448,32
1919000,1385,33
2020000,1327,34
2121000,1275,36
2222000,1224,37
2323000,1177,39
2424000,1126,41
2525000,1085,47
2626000,1043,47
2727000,1004,50
2828000,967,50
2929000,937,51
3030000,906,55
3131000,878,56
3232000,848,59
3333000,823,59
3434000,798,62
3535000,776,65
3636000,752,69
3737000,731,70
3838000,710,72
3939000,689,77
4040000,670,79
4141000,652,86
4242000,634,86
4343000,617,88
4444000,601,90
4545000,584,93
4646000,567,96
4747000,553,97
4848000,537,105
4949000,525,108
5050000,511,110
5151000,500,111
5252000,488,119
5353000,475,113
5454000,464,114
5555000,451,115
5656000,440,131
5757000,429,139
5858000,417,154
5959000,409,154
6060000,400,154
6161000,391,161
6262000,381,162
6363000,373,177
6464000,364,179
6565000,356,192
6666000,349,196
6767000,341,198
6868000,334,207
6969000,328,212
7070000,322,212
7171000,315,219
7272000,310,228
7373000,303,234
7474000,298,235
7575000,294,256
7676000,288,255
7777000,284,262
7878000,278,266
7979000,272,301
8080000,267,303
8181000,262,329
8282000,256,333
8383000,251,333
8484000,247,350
8585000,242,381
8686000,238,393
8787000,234,396
8888000,230,416
8989000,226,420
9090000,222,438
9191000,218,465
9292000,214,488
9393000,210,488
9494000,206,490
9595000,202,521
9696000,199,522
9797000,195,526
9898000,192,568
10000000,188,583
