TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM
100000.0,0.01423256,0.1339298,-69.79579,0.0,225.95880000000002,330.8859,0.03592545,6.78086e238,6.78086e238,0.00019197449999999998,0.007778373999999999,0.011293929999999999,0.019072299999999997
200000.0,0.015039160000000001,1.5920089999999998,-475.2111999999999,0.0,-313.53340000000003,349.63779999999997,0.0023293190000000003,43012.44,43012.44,0.0005412258,0.005151133,0.0051769960000000005,0.010328109999999998
300000.0,0.025049970000000005,5.886869,-1030.6970999999999,0.0,-757.3272000000001,582.3739,-0.011287294,43222.270000000004,43222.240000000005,0.0007950818000000001,0.008606313,0.008650598999999998,0.017256909999999997
400000.0,0.035038889999999996,13.38067,-1586.407,0.0,-1197.4270000000001,814.6015,-0.024698529999999993,43427.270000000004,43427.25,0.0009615361999999999,0.012105710000000002,0.01212641,0.024232109999999998
500000.0,0.04502298,23.74237,-2083.864,0.0,-1575.368,1046.717,-0.034106540000000005,43568.66999999999,43568.649999999994,0.001059611,0.01568192,0.01559249,0.03127437999999999
600000.0,0.050073400000000004,32.327299999999994,-2505.7589999999996,0.0,-1932.0780000000002,1164.132,-0.049544809999999995,189.34879999999998,189.2992,0.001013798,0.0175539,0.017372359999999996,0.03492626
700000.0,0.050058250000000006,36.76388,-2831.46,0.0,-2252.1,1163.781,-0.07021427999999999,504.4485999999999,504.3782,0.0008973224999999999,0.017635400000000002,0.01737065,0.03500607
800000.0,0.05006777999999999,40.03298,-3087.116,0.0,-2503.3990000000003,1164.0,-0.08641273000000001,751.5063,751.4199000000001,0.0007913717,0.0177096,0.017366780000000005,0.03507636
900000.0,0.05002864,42.90939,-3296.95,0.0,-2709.7850000000003,1163.092,-0.09978656999999999,954.3530000000001,954.2531999999999,0.0007093699,0.01773755,0.01737577,0.03511331000000001
1.0e6,0.05002187,45.25332,-3471.925,0.0,-2881.612,1162.9330000000002,-0.11088230000000002,1122.1019999999999,1121.991,0.0006300823,0.017795090000000003,0.01737002,0.03516511
1.1e6,0.050031650000000004,47.265119999999996,-3609.2149999999992,0.0,-3016.2709999999997,1163.161,-0.1195555,1254.1979999999999,1254.078,0.0005822119000000001,0.017837810000000003,0.017367249999999997,0.03520508000000001
1.2e6,0.05001827999999999,48.92858,-3731.4900000000002,0.0,-3136.3110000000006,1162.85,-0.1273201,1372.3999999999999,1372.27,0.0005416872000000001,0.017864599999999998,0.017377539999999997,0.03524212
1.3e6,0.05000075,50.59218,-3840.611,0.0,-3243.328,1162.4409999999998,-0.1342507,1477.5149999999999,1477.381,0.0004996787,0.017905099999999997,0.017365230000000002,0.035270340000000004
1.4e6,0.050007960000000004,51.950779999999995,-3934.318,0.0,-3335.3129999999996,1162.6100000000001,-0.1401745,1567.73,1567.591,0.00046189950000000005,0.01793003,0.017363729999999997,0.03529373
1.5e6,0.05001655000000001,53.187479999999994,-4016.4610000000002,0.0,-3415.471,1162.8100000000002,-0.14533290000000001,1645.825,1645.681,0.00042550850000000007,0.01795834,0.01738394,0.035342269999999995
1.6e6,0.050024690000000004,54.25644,-4083.261,0.0,-3480.817,1162.998,-0.1495368,1710.1600000000003,1710.0079999999998,0.0004003105,0.01799965,0.017367379999999998,0.03536703
1.7e6,0.05001393,55.135149999999996,-4148.504,0.0,-3544.781,1162.748,-0.15367949999999997,1773.4360000000001,1773.282,0.0003702292,0.01801545,0.017377319999999998,0.03539277
1.8e6,0.0500011,56.24493,-4208.805,0.0,-3603.8299999999995,1162.4510000000002,-0.15750849999999997,1833.006,1832.848,0.0003652131,0.01802655,0.01737528,0.03540184
1.9e6,0.0500191,57.10866000000001,-4263.4890000000005,0.0,-3657.0330000000004,1162.868,-0.16091350000000001,1886.7549999999999,1886.595,0.0003288075,0.018077499999999996,0.01736441,0.03544189
2.0e6,0.05001515999999999,57.743880000000004,-4308.716,0.0,-3701.348000000001,1162.778,-0.16377879999999997,1932.095,1931.932,0.00030722249999999996,0.01808845,0.017371030000000003,0.03545948
2.1e6,0.05001507000000001,58.428920000000005,-4350.272,0.0,-3741.968,1162.775,-0.16639949999999998,1973.6349999999998,1973.4690000000003,0.000295851,0.01810477,0.017371110000000002,0.0354759
2.2e6,0.04997298,59.12148999999998,-4389.344,0.0,-3780.564,1161.796,-0.16895280000000001,2014.3799999999999,2014.2109999999998,0.00029993559999999997,0.018106450000000003,0.01735535,0.03546177999999999
2.3e6,0.04999522,59.8556,-4426.557999999999,0.0,-3816.446,1162.3139999999999,-0.1712343,2051.084,2050.9139999999998,0.0002771049,0.01812921,0.01737126,0.03550045
2.4e6,0.050011799999999995,60.445820000000005,-4462.294,0.0,-3851.0699999999997,1162.7,-0.1734433,2086.469,2086.296,0.0002697432,0.018154640000000003,0.01737931,0.03553398
2.5e6,0.05002174,61.089380000000006,-4492.19,0.0,-3880.0619999999994,1162.931,-0.17529880000000003,2117.7320000000004,2117.558,0.000269875,0.01818239,0.017368599999999998,0.03555101
