TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM
100000.0,0.01428809,0.28505149999999996,-148.18630000000002,0.0,148.33829999999998,332.1763,0.031000940000000005,1.356172e239,1.356172e239,0.0004054864,0.007817222000000002,0.01129501,0.019112240000000003
200000.0,0.01513182,3.1531089999999997,-932.749,0.0,-768.1960999999999,351.7925,-0.026864759999999998,43467.240000000005,43467.229999999996,0.0010696980000000002,0.005230738,0.005182151,0.010412880000000001
300000.0,0.025095039999999996,10.64516,-1834.9870000000003,0.0,-1555.5430000000001,583.422,-0.06271745999999997,44017.86000000001,44017.78,0.001432593,0.008692845000000001,0.00864904,0.017341879999999997
400000.0,0.03504568,22.01681,-2564.0730000000003,0.0,-2164.413,814.7596999999998,-0.08707437999999999,44388.079999999994,44387.979999999996,0.0015962910000000001,0.01224243,0.01212182,0.02436427
500000.0,0.04502224,36.04397,-3092.7969999999996,0.0,-2568.925,1046.7,-0.09820812999999999,44551.04,44550.94,0.0016572659999999997,0.01587929,0.015593479999999998,0.03147276
600000.0,0.050068119999999994,46.28713,-3483.660999999999,0.0,-2891.99,1164.011,-0.11148260000000002,168.87779999999998,168.7664,0.001528935,0.01782401,0.01736196,0.03518595
700000.0,0.050054129999999995,50.44799999999999,-3767.995,0.0,-3171.037,1163.685,-0.1295064,438.3847999999999,438.25550000000004,0.0013241430000000003,0.017895139999999997,0.017363689999999998,0.03525881000000001
800000.0,0.050020969999999984,53.473310000000005,-3976.673,0.0,-3375.525,1162.913,-0.1427494,635.9402,635.7972000000001,0.0011299400000000003,0.01796971,0.01736408,0.03533377
900000.0,0.05002379999999999,55.99631000000001,-4132.767,0.0,-3528.1160000000004,1162.98,-0.15258960000000002,781.7327,781.58,0.0010379661999999998,0.018025839999999998,0.01737124,0.0353971
1.0e6,0.05003661,57.87151,-4262.281000000001,0.0,-3654.809999999999,1163.2759999999998,-0.16074399999999997,903.3150000000002,903.1546000000001,0.0009231986999999999,0.01808885,0.01736916,0.035458050000000005
