TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM
100000.0,0.014209850000000001,0.06691731999999999,-34.36357,0.0,261.04670000000004,330.3574,0.038155119999999994,6.78086e238,6.78086e238,9.371292000000001e-5,0.0077607019999999995,0.0112937,0.01905442
200000.0,0.014989929999999999,0.8285056000000001,-250.33070000000004,0.0,-90.09168000000001,348.49390000000005,0.01667108,42789.84,42789.84999999999,0.00027301969999999996,0.005105133999999999,0.0051794119999999996,0.01028455
300000.0,0.02499617,3.2045289999999995,-564.6173,0.0,-294.9642,581.1234,0.01846188,42761.39,42761.41999999999,0.00042572929999999996,0.008537906,0.008652311,0.01719021
400000.0,0.035004350000000004,7.632095,-911.2399999999998,0.0,-529.6589999999999,813.7991,0.018331609999999998,42762.6,42762.61,0.0005479223,0.01200084,0.01212486,0.02412573
500000.0,0.04499011,14.38691,-1271.8310000000001,0.0,-775.1887999999999,1045.952,0.017468630000000002,42774.2,42774.219999999994,0.0006423287000000001,0.015526079999999998,0.01558726,0.031113369999999994
600000.0,0.050088339999999995,20.567310000000003,-1610.0690000000002,0.0,-1050.901,1164.478,0.007327591,162.49020000000002,162.49759999999998,0.0006517046,0.017369990000000002,0.017378400000000002,0.034748390000000004
700000.0,0.050073160000000005,24.344150000000003,-1906.114,0.0,-1342.611,1164.127,-0.011515114,452.37219999999996,452.36080000000004,0.0005947041,0.01742064,0.017363820000000002,0.03478445
800000.0,0.05004504,27.35641,-2147.9399999999996,0.0,-1580.944,1163.473,-0.026933739999999994,689.9986,689.9715,0.0005451033999999999,0.01746067,0.01735463,0.03481531
900000.0,0.050040629999999996,30.112179999999995,-2359.969,0.0,-1789.1709999999998,1163.3700000000001,-0.04037426,896.3365000000001,896.2958999999998,0.0005067004,0.01750688,0.01737612,0.03488301
1.0e6,0.05002372999999999,32.547610000000006,-2545.7799999999997,0.0,-1972.0629999999996,1162.9750000000001,-0.052199110000000014,1077.6889999999999,1077.637,0.0004736901,0.01754461,0.01736948,0.03491408
1.1e6,0.050031559999999996,34.605720000000005,-2707.476,0.0,-2131.2709999999997,1163.157,-0.06245895,1234.4899999999998,1234.429,0.0004387832999999999,0.017569770000000002,0.017371940000000002,0.03494171
1.2e6,0.050025169999999994,36.58461,-2850.9129999999996,0.0,-2272.067,1163.0100000000002,-0.07155201000000001,1373.8300000000004,1373.759,0.0004136875,0.01761542,0.01736918,0.0349846
1.3e6,0.05001723,38.207550000000005,-2975.7680000000005,0.0,-2394.7520000000004,1162.825,-0.07947921999999999,1495.5499999999997,1495.4719999999998,0.00038682509999999996,0.01765094,0.0173689,0.03501983
1.4e6,0.050020930000000005,39.68238,-3087.816,0.0,-2504.9339999999997,1162.911,-0.08658208999999999,1604.9519999999998,1604.864,0.0003650408,0.017668739999999995,0.01737648,0.03504521
1.5e6,0.05002844999999999,41.07047,-3187.299,0.0,-2602.529,1163.0880000000002,-0.09286718000000001,1701.652,1701.562,0.00034247650000000004,0.01770313,0.017374309999999997,0.03507748
1.6e6,0.05001676000000001,42.33079,-3278.2879999999996,0.0,-2692.033999999999,1162.8129999999999,-0.09865927,1790.6459999999995,1790.548,0.0003299816,0.017728429999999996,0.01736343,0.035091830000000004
1.7e6,0.050010399999999997,43.53426,-3361.1659999999997,0.0,-2773.4239999999995,1162.667,-0.1039198,1870.471,1870.3649999999998,0.00031334859999999996,0.01774619,0.01736398,0.03511017
1.8e6,0.050022,44.66821,-3440.311,0.0,-2850.9210000000003,1162.9379999999999,-0.10890219999999999,1946.7,1946.591,0.0002968068,0.01776755,0.01737571,0.035143259999999996
1.9e6,0.049998770000000005,45.61929,-3510.0480000000002,0.0,-2919.321,1162.397,-0.1133499,2015.56,2015.4480000000003,0.0002891388,0.01779666,0.01737166,0.035168319999999996
2.0e6,0.05001123,46.633900000000004,-3575.351,0.0,-2983.2740000000003,1162.687,-0.11745730000000001,2078.217,2078.1000000000004,0.00027404619999999997,0.01781601,0.017373660000000003,0.03518966
2.1e6,0.05002836000000001,47.467690000000005,-3636.472,0.0,-3043.221,1163.084,-0.1212993,2137.7830000000004,2137.6609999999996,0.0002642643,0.017840480000000002,0.01737139,0.0352119
2.2e6,0.04999575,48.28336,-3694.648,0.0,-3100.5150000000003,1162.3270000000002,-0.1250445,2195.9440000000004,2195.82,0.0002519452,0.01785464,0.01736141,0.03521605
2.3e6,0.05000987,49.1064,-3749.25,0.0,-3153.9280000000003,1162.654,-0.1284691,2248.918,2248.79,0.00024311900000000003,0.017877999999999998,0.017361790000000002,0.0352398
2.4e6,0.05001194,49.76925,-3798.457,0.0,-3202.143000000001,1162.704,-0.1315768,2297.6589999999997,2297.5280000000002,0.00023277649999999998,0.01789371,0.01736721,0.03526092
2.5e6,0.050003849999999996,50.46124999999999,-3842.94,0.0,-3245.7839999999997,1162.5140000000001,-0.13440480000000002,2342.569,2342.435,0.00022423810000000004,0.017913480000000002,0.017356930000000003,0.0352704
2.6e6,0.04998953,51.16059,-3884.0519999999997,0.0,-3286.1509999999994,1162.181,-0.13703020000000002,2384.156,2384.017999999999,0.00021654889999999996,0.017912900000000002,0.01736058,0.03527346
2.7e6,0.049999329999999995,51.62672000000001,-3924.9379999999996,0.0,-3326.1620000000003,1162.4099999999999,-0.13959680000000002,2424.9179999999997,2424.779,0.0002040586,0.01793285,0.01736715,0.035300000000000005
2.8e6,0.05000312999999999,52.342740000000006,-3963.8630000000003,0.0,-3364.1949999999997,1162.499,-0.1420452,2463.874,2463.7339999999995,0.00020430779999999998,0.017948159999999998,0.017362960000000004,0.03531113
2.9e6,0.050017849999999996,52.90749000000001,-4000.693,0.0,-3399.9550000000004,1162.8379999999997,-0.14433,2500.5289999999995,2500.3840000000005,0.00019589490000000001,0.017972719999999998,0.017371239999999996,0.03534393999999999
3.0e6,0.04999661,53.37083,-4034.4739999999993,0.0,-3433.311,1162.3470000000002,-0.1465138,2535.7800000000007,2535.6320000000005,0.00019075640000000002,0.01796511,0.01737628,0.03534138
3.1e6,0.05001704999999999,53.775220000000004,-4067.932,0.0,-3465.9970000000003,1162.8200000000002,-0.148592,2569.1369999999997,2568.9880000000003,0.0001783387,0.017996,0.01736917,0.0353652
3.2e6,0.049997429999999995,54.27424,-4100.432999999999,0.0,-3498.0259999999994,1162.3660000000002,-0.1506877,2603.475,2603.326,0.00017932569999999995,0.01798445,0.017379029999999997,0.035363490000000004
3.3e6,0.04999145,54.76219,-4127.437,0.0,-3524.28,1162.2270000000003,-0.1523906,2632.179,2632.028,0.0001698598,0.018008180000000002,0.01737222,0.0353804
3.4e6,0.05002126,55.141560000000005,-4153.079,0.0,-3549.2019999999998,1162.92,-0.153954,2658.3210000000004,2658.1670000000004,0.0001610232,0.018023920000000002,0.01737827,0.0354022
3.5e6,0.05002025000000001,55.643190000000004,-4179.679999999999,0.0,-3574.9550000000004,1162.8960000000002,-0.15561670000000002,2686.203,2686.049,0.00015816390000000002,0.018034760000000004,0.01738982,0.03542455
3.6e6,0.05000191,55.88259999999999,-4203.49,0.0,-3598.522000000001,1162.47,-0.1571649,2712.9920000000006,2712.8369999999995,0.00015355460000000002,0.018049649999999997,0.017375269999999998,0.03542493
3.7e6,0.05000918000000001,56.33528,-4228.7300000000005,0.0,-3623.3670000000006,1162.6390000000001,-0.1587566,2739.6169999999993,2739.459,0.00014941690000000002,0.018053,0.01736811,0.035421140000000004
3.8e6,0.05001778,56.82340000000001,-4252.324,0.0,-3646.126,1162.838,-0.16021220000000003,2764.9460000000004,2764.786,0.00014701759999999998,0.01807483,0.017368659999999998,0.035443489999999994
3.9e6,0.05000618999999999,57.236630000000005,-4274.538,0.0,-3668.04,1162.5680000000002,-0.16164339999999996,2790.0719999999997,2789.9109999999996,0.00015038899999999999,0.018071329999999997,0.0173649,0.03543623
4.0e6,0.05002962,57.6099,-4298.515,0.0,-3691.264,1163.115,-0.1631064,2815.4710000000005,2815.3100000000004,0.0001433622,0.01808243,0.017378239999999996,0.03546065999999999
4.1e6,0.04999614,57.80501,-4318.639,0.0,-3711.3950000000004,1162.3359999999998,-0.16445549999999998,2839.4139999999998,2839.2490000000003,0.00013481339999999999,0.018078660000000003,0.0173691,0.03544776
4.2e6,0.04999271000000001,58.06246,-4336.89,0.0,-3729.2690000000002,1162.257,-0.1656138,2860.1369999999997,2859.9710000000005,0.0001307639,0.01809932,0.01735617,0.03545549
