TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM,id
100000.0,0.0143146,0.383778,-206.045,0.0,90.8127,332.793,0.0273294,42632.7,42632.8,0.000520668,0.00782865,0.0112987,0.0191273,0.050.050.055000.01.00.001
200000.0,0.0151535,4.06824,-1200.29,0.0,-1034.34,352.296,-0.0440027,43735.3,43735.2,0.00132733,0.00526528,0.00517856,0.0104438,0.050.050.055000.01.00.001
300000.0,0.0251307,12.8019,-2173.48,0.0,-1891.01,584.251,-0.0843069,44353.1,44353.1,0.00174662,0.00873608,0.00866215,0.0173982,0.050.050.055000.01.00.001
400000.0,0.0350726,25.3967,-2920.22,0.0,-2515.93,815.386,-0.109712,44737.9,44737.8,0.0018941,0.0123019,0.012143,0.0244449,0.050.050.055000.01.00.001
500000.0,0.0449757,40.0139,-3406.16,0.0,-2878.23,1045.62,-0.118233,44859.8,44859.7,0.00197427,0.0159193,0.0155591,0.0314784,0.050.050.055000.01.00.001
600000.0,0.0500279,50.827,-3767.17,0.0,-3169.99,1163.07,-0.129479,129.637,129.507,0.00177279,0.0178949,0.0173532,0.035248,0.050.050.055000.01.00.001
700000.0,0.0500339,55.8014,-4046.31,0.0,-3441.78,1163.21,-0.147004,381.705,381.558,0.00157722,0.0180341,0.0173677,0.0354018,0.050.050.055000.01.00.001
800000.0,0.0500799,58.8446,-4247.31,0.0,-3638.22,1164.28,-0.159609,566.995,566.835,0.00140079,0.0181208,0.0173789,0.0354998,0.050.050.055000.01.00.001
900000.0,0.0500136,60.6084,-4375.9,0.0,-3764.57,1162.74,-0.16786,688.4,688.232,0.00116483,0.0181646,0.0173661,0.0355307,0.050.050.055000.01.00.001
1.0e6,0.0500329,62.8239,-4490.41,0.0,-3875.09,1163.19,-0.174961,789.455,789.28,0.00110531,0.0182409,0.0174042,0.0356451,0.050.050.055000.01.00.001
1.1e6,0.0500345,65.1387,-4588.62,0.0,-3969.9,1163.23,-0.181076,873.502,873.321,0.000995083,0.0183462,0.0173687,0.0357149,0.050.050.055000.01.00.001
1.2e6,0.0500137,66.6278,-4668.04,0.0,-4047.91,1162.74,-0.18614,947.397,947.211,0.000960174,0.0183568,0.0173529,0.0357097,0.050.050.055000.01.00.001
1.3e6,0.050093,68.1235,-4729.9,0.0,-4106.25,1164.59,-0.189785,1003.02,1002.84,0.000844416,0.0184348,0.0174057,0.0358405,0.050.050.055000.01.00.001
1.4e6,0.0499716,69.1051,-4776.92,0.0,-4153.05,1161.77,-0.192986,1054.49,1054.3,0.000926136,0.0184256,0.0173662,0.0357918,0.050.050.055000.01.00.001
1.5e6,0.0499881,69.4875,-4829.72,0.0,-4205.17,1162.15,-0.196324,1107.14,1106.94,0.00081266,0.0184548,0.0173557,0.0358105,0.050.050.055000.01.00.001
1.6e6,0.0500585,70.6164,-4870.55,0.0,-4243.5,1163.79,-0.198691,1147.62,1147.42,0.000833965,0.0185044,0.017395,0.0358994,0.050.050.055000.01.00.001
1.7e6,0.0500146,71.6616,-4915.33,0.0,-4287.23,1162.76,-0.201579,1194.87,1194.67,0.00082697,0.0185235,0.0173757,0.0358992,0.050.050.055000.01.00.001
1.8e6,0.0499992,71.9999,-4956.23,0.0,-4327.02,1162.41,-0.204169,1236.78,1236.58,0.000621576,0.0185443,0.0174042,0.0359485,0.050.050.055000.01.00.001
1.9e6,0.0500193,72.8124,-4989.14,0.0,-4358.79,1162.87,-0.206188,1268.63,1268.42,0.000576319,0.0185952,0.0173752,0.0359704,0.050.050.055000.01.00.001
2.0e6,0.0500421,73.5687,-5012.6,0.0,-4380.64,1163.4,-0.207564,1296.78,1296.58,0.000620032,0.0186347,0.0173902,0.0360249,0.050.050.055000.01.00.001
2.1e6,0.0499711,74.4913,-5035.75,0.0,-4402.99,1161.75,-0.209112,1328.15,1327.94,0.000701853,0.0186387,0.0173786,0.0360173,0.050.050.055000.01.00.001
2.2e6,0.0499941,74.3829,-5059.48,0.0,-4427.32,1162.29,-0.210647,1360.12,1359.91,0.000580436,0.0186332,0.0173519,0.0359852,0.050.050.055000.01.00.001
2.3e6,0.0499956,74.6442,-5081.55,0.0,-4448.37,1162.32,-0.212003,1388.0,1387.79,0.000456989,0.0186634,0.0173718,0.0360352,0.050.050.055000.01.00.001
