TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM,N_exp,phi,chi_4,temp,damp,tstep,N_heat,N_isothermal,fit_ep_parameters,fit_ep_margin_error,fit_ep_standard_error
10000.0,0.0466541,0.00249247,-0.00538448,0.0,483.515,433.813,0.147956,1.35617e241,1.35617e241,4.86139e-6,0.0301902,0.0477966,0.0779868,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
20000.0,0.0014663,0.00135619,-0.351452,0.0,5.85694,13.6344,0.00314377,17158.0,17158.0,2.86916e-5,0.000494993,0.000506143,0.00100114,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
30000.0,0.00247835,0.00556303,-5.69744,0.0,4.81009,23.045,0.00449275,17149.7,17149.7,4.52502e-5,0.000838717,0.000855149,0.00169387,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
40000.0,0.00348347,0.0106276,-11.3935,0.0,3.44236,32.3911,0.00577958,17141.7,17141.7,6.46986e-5,0.00118853,0.00120263,0.00239116,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
50000.0,0.00449513,0.0260657,-22.348,0.0,-3.17689,41.798,0.00622921,17139.0,17139.0,8.26422e-5,0.00153494,0.00155297,0.00308791,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
60000.0,0.00551996,0.0444354,-40.7082,0.0,-17.0092,51.3273,0.00553519,17143.3,17143.3,0.000104843,0.00189553,0.00191973,0.00381527,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
70000.0,0.00648289,0.0644318,-53.1026,0.0,-25.391,60.2812,0.00562744,17142.7,17142.8,0.000119988,0.00221003,0.00224919,0.00445922,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
80000.0,0.00752024,0.096718,-71.9526,0.0,-39.6558,69.927,0.00488245,17147.4,17147.4,0.000138826,0.00258081,0.00261275,0.00519356,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
90000.0,0.0085092,0.119634,-85.5248,0.0,-49.0094,79.1228,0.004857,17147.6,17147.6,0.000154955,0.00291289,0.00295739,0.00587028,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
100000.0,0.00950961,0.169944,-101.006,0.0,-60.1344,88.4251,0.00456302,17149.4,17149.4,0.000169606,0.00325808,0.00330678,0.00656486,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
