TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM,phi,chi_4,temp,damp,tstep,N_heat,N_isothermal
10000.0,0.09301582,0.03721272,-0.38029058,0.0,2432.198,2162.478,0.2964306,38455.42,38455.72000000001,4.66431e-5,0.060919940000000006,0.09601819999999998,0.15693819999999997,0.04,0.05,0.05,1.0,0.001,500000,500000000
20000.0,0.0014336559999999997,0.0062064220000000005,-0.49595456000000004,0.0,14.53516,33.330380000000005,0.0030881019999999997,43004.12,43004.12,0.00011731740000000002,0.0004766608,0.0004926898000000001,0.0009693506000000001,0.04,0.05,0.05,1.0,0.001,500000,500000000
30000.0,0.002463088,0.0317499,-8.966122,0.0,17.046499999999998,57.26307999999999,0.004794166,42977.68000000001,42977.68000000001,0.00020002760000000002,0.0008408264000000001,0.0008353592,0.0016761860000000003,0.04,0.05,0.05,1.0,0.001,500000,500000000
40000.0,0.0034983460000000003,0.08056706,-35.611439999999995,0.0,1.4822397999999999,81.33132,0.005342812,42969.16,42969.18000000001,0.000285557,0.0012078400000000002,0.0011801,0.002387942,0.04,0.05,0.05,1.0,0.001,500000,500000000
50000.0,0.004542526,0.144401,-78.16842,0.0,-29.746320000000004,105.6072,0.004894232,42976.119999999995,42976.119999999995,0.00036979179999999996,0.0015790499999999998,0.001535638,0.00311469,0.04,0.05,0.05,1.0,0.001,500000,500000000
60000.0,0.005561014,0.22824,-136.319,0.0,-77.00836,129.28539999999998,0.003372708,42999.68000000001,42999.68000000001,0.0004561316,0.0019335,0.001878256,0.0038117560000000003,0.04,0.05,0.05,1.0,0.001,500000,500000000
70000.0,0.006577721999999999,0.3375576,-203.35999999999999,0.0,-133.14159999999998,152.922,0.0012761644,43032.18,43032.18,0.0005326263999999999,0.002279646,0.0022287839999999997,0.004508432000000001,0.04,0.05,0.05,1.0,0.001,500000,500000000
80000.0,0.007577736,0.48182179999999997,-270.293,0.0,-189.22899999999998,176.1712,-0.00084245338,43064.96,43064.96,0.0006140777999999999,0.00262729,0.0025715539999999998,0.005198848,0.04,0.05,0.05,1.0,0.001,500000,500000000
90000.0,0.008607514,0.6765656000000001,-351.20759999999996,0.0,-258.7874,200.11180000000002,-0.0037855440000000005,43110.46,43110.46,0.0006776144,0.002993224,0.002925698,0.005918924000000001,0.04,0.05,0.05,1.0,0.001,500000,500000000
100000.0,0.009605714000000001,0.8727637999999999,-434.77560000000005,0.0,-331.6246,223.31840000000003,-0.006987502,43160.060000000005,43160.060000000005,0.0007496388,0.003327562,0.0032710420000000005,0.006598602,0.04,0.05,0.05,1.0,0.001,500000,500000000
110000.0,0.010625,1.1468720000000001,-521.1416,0.0,-406.9594,247.0156,-0.010318964,43211.219999999994,43211.219999999994,0.0008253082,0.0036788920000000004,0.0036137139999999996,0.007292606,0.04,0.05,0.05,1.0,0.001,500000,500000000
120000.0,0.01162916,1.497678,-614.1514,0.0,-488.7924,270.361,-0.01409234,43269.64,43269.6,0.0008804816,0.0040285519999999995,0.003962495999999999,0.00799105,0.04,0.05,0.05,1.0,0.001,500000,500000000
130000.0,0.01262508,1.844258,-708.5926,0.0,-572.2765999999999,293.514,-0.01798468,43329.759999999995,43329.740000000005,0.0009454518,0.004374268,0.00430134,0.008675612000000001,0.04,0.05,0.05,1.0,0.001,500000,500000000
140000.0,0.013627900000000002,2.300976,-806.112,0.0,-658.3743999999999,316.8284,-0.022035259999999997,43392.42,43392.340000000004,0.0009947692,0.004726142,0.004656884,0.009383023999999998,0.04,0.05,0.05,1.0,0.001,500000,500000000
150000.0,0.014617000000000002,2.7611499999999998,-907.8975999999999,0.0,-749.2062,339.8228,-0.026411820000000003,43459.979999999996,43459.94,0.001066684,0.005067638,0.004992373999999999,0.01006,0.04,0.05,0.05,1.0,0.001,500000,500000000
160000.0,0.015619959999999999,3.281138,-1002.8494000000001,0.0,-833.0163999999999,363.1412,-0.03031452,43520.020000000004,43519.96,0.001103382,0.005407716,0.005337562,0.01074528,0.04,0.05,0.05,1.0,0.001,500000,500000000
170000.0,0.016654079999999998,3.891108,-1104.11,0.0,-922.6454,387.18240000000003,-0.03454598,43585.159999999996,43585.1,0.001157676,0.005765378,0.005691142,0.011456520000000001,0.04,0.05,0.05,1.0,0.001,500000,500000000
180000.0,0.01763466,4.46354,-1199.654,0.0,-1006.6276,409.97959999999995,-0.03849348,43645.700000000004,43645.66,0.00117506,0.006101044,0.0060642000000000005,0.01216526,0.04,0.05,0.05,1.0,0.001,500000,500000000
190000.0,0.01863254,5.126908,-1288.654,0.0,-1084.8700000000001,433.1785999999999,-0.042044580000000005,43700.58,43700.53999999999,0.0012362739999999999,0.006434096,0.0063826,0.01281672,0.04,0.05,0.05,1.0,0.001,500000,500000000
200000.0,0.01960104,5.834960000000001,-1374.6380000000001,0.0,-1159.2499999999998,455.69440000000003,-0.045390679999999996,43751.92,43751.86,0.001267602,0.006773608,0.006745964,0.01351956,0.04,0.05,0.05,1.0,0.001,500000,500000000
210000.0,0.02062378,6.626352,-1461.414,0.0,-1234.5059999999999,479.4718,-0.04871192,43803.1,43803.06,0.00130445,0.007120079999999999,0.007091612,0.014211679999999999,0.04,0.05,0.05,1.0,0.001,500000,500000000
220000.0,0.021635980000000003,7.395428,-1549.732,0.0,-1310.942,503.004,-0.05212502,43855.560000000005,43855.520000000004,0.0013493779999999998,0.0074816679999999995,0.007446956,0.0149286,0.04,0.05,0.05,1.0,0.001,500000,500000000
230000.0,0.022554440000000002,8.099746,-1636.522,0.0,-1386.95,524.3572,-0.05565112,43909.46,43909.37999999999,0.001372318,0.00781189,0.007767083999999999,0.015578999999999999,0.04,0.05,0.05,1.0,0.001,500000,500000000
240000.0,0.02358062,9.0543,-1717.118,0.0,-1455.892,548.2139999999999,-0.05855972,43954.14,43954.08,0.001406898,0.008159772000000001,0.008109478,0.01626926,0.04,0.05,0.05,1.0,0.001,500000,500000000
250000.0,0.02463976,9.940487999999998,-1799.154,0.0,-1525.4379999999999,572.8374,-0.06145816,43998.439999999995,43998.38,0.0014120340000000002,0.008517209999999999,0.008500342,0.01701756,0.04,0.05,0.05,1.0,0.001,500000,500000000
260000.0,0.025616319999999998,10.909180000000001,-1880.1919999999998,0.0,-1594.5700000000002,595.5412,-0.06445338,44044.12,44044.05999999999,0.001441902,0.008892681999999999,0.008830785999999998,0.01772346,0.04,0.05,0.05,1.0,0.001,500000,500000000
270000.0,0.0265992,11.93314,-1962.03,0.0,-1664.86,618.3918000000001,-0.06751408,44090.34,44090.240000000005,0.001471782,0.00921203,0.009190358,0.0184024,0.04,0.05,0.05,1.0,0.001,500000,500000000
280000.0,0.027601999999999998,12.996839999999997,-2038.7440000000001,0.0,-1729.336,641.7059999999999,-0.07016974,44130.94,44130.88,0.00148404,0.009581627999999998,0.009541596000000001,0.01912322,0.04,0.05,0.05,1.0,0.001,500000,500000000
290000.0,0.02857456,14.07142,-2114.046,0.0,-1793.234,664.3147999999999,-0.07283358,44171.3,44171.219999999994,0.00149378,0.009917519999999999,0.00987201,0.01978954,0.04,0.05,0.05,1.0,0.001,500000,500000000
300000.0,0.02958228,15.20796,-2185.23,0.0,-1852.486,687.744,-0.07514466,44206.26,44206.18,0.00152771,0.01026812,0.01021824,0.02048636,0.04,0.05,0.05,1.0,0.001,500000,500000000
310000.0,0.030604680000000002,16.36354,-2257.5379999999996,0.0,-1912.0,711.513,-0.07745083999999999,44241.340000000004,44241.240000000005,0.0015560819999999999,0.0106516,0.010585460000000001,0.0212371,0.04,0.05,0.05,1.0,0.001,500000,500000000
320000.0,0.031589240000000005,17.488960000000002,-2325.554,0.0,-1968.154,734.403,-0.07959676,44274.1,44274.020000000004,0.0016043,0.010988020000000001,0.010941679999999999,0.021929720000000003,0.04,0.05,0.05,1.0,0.001,500000,500000000
330000.0,0.03257987999999999,18.61492,-2395.176,0.0,-2026.15,757.4336,-0.08185262,44308.48,44308.4,0.001575534,0.011332940000000001,0.01127426,0.02260718,0.04,0.05,0.05,1.0,0.001,500000,500000000
340000.0,0.033586319999999996,20.065260000000002,-2460.168,0.0,-2078.894,780.8315999999999,-0.08374574,44336.96000000001,44336.86,0.0016038900000000002,0.01172224,0.011581740000000002,0.02330402,0.04,0.05,0.05,1.0,0.001,500000,500000000
350000.0,0.03454316,21.27176,-2523.2940000000003,0.0,-2130.126,803.076,-0.08561621999999999,44364.7,44364.6,0.0016081279999999997,0.012056500000000001,0.0119366,0.02399312,0.04,0.05,0.05,1.0,0.001,500000,500000000
360000.0,0.03550527999999999,22.4829,-2581.3940000000002,0.0,-2176.0199999999995,825.4436,-0.087134,44387.46,44387.4,0.0016271620000000001,0.01237988,0.01232266,0.02470252,0.04,0.05,0.05,1.0,0.001,500000,500000000
370000.0,0.03655154,23.843860000000003,-2636.432,0.0,-2218.4219999999996,849.7686,-0.08830025999999999,44404.46,44404.37999999999,0.0016470080000000002,0.012750899999999999,0.01267896,0.02542986,0.04,0.05,0.05,1.0,0.001,500000,500000000
380000.0,0.03753864,25.19102,-2694.0379999999996,0.0,-2264.576,872.7176,-0.08979743999999999,44427.060000000005,44427.00000000001,0.001657146,0.013134119999999999,0.01294766,0.02608178,0.04,0.05,0.05,1.0,0.001,500000,500000000
390000.0,0.03855632,26.38258,-2752.3559999999998,0.0,-2310.054,896.3764000000001,-0.09120498,44448.340000000004,44448.240000000005,0.0016253419999999997,0.01351766,0.01331584,0.02683352,0.04,0.05,0.05,1.0,0.001,500000,500000000
400000.0,0.03956124,27.87616,-2809.2619999999997,0.0,-2354.198,919.7394,-0.09254576,44468.54,44468.44,0.0016592240000000002,0.01388994,0.01367052,0.02756048,0.04,0.05,0.05,1.0,0.001,500000,500000000
410000.0,0.04053294,29.398180000000004,-2868.032,0.0,-2400.956,942.3302,-0.09410484,44491.5,44491.4,0.0017043820000000002,0.01423458,0.0140028,0.028237399999999996,0.04,0.05,0.05,1.0,0.001,500000,500000000
420000.0,0.04154458,30.60722,-2922.32,0.0,-2442.1760000000004,965.8490000000002,-0.09524698000000001,44507.68000000001,44507.579999999994,0.0016197200000000003,0.014623640000000002,0.014378579999999998,0.029002240000000002,0.04,0.05,0.05,1.0,0.001,500000,500000000
430000.0,0.042556140000000006,32.09598,-2969.65,0.0,-2476.772,989.3666,-0.09596160000000001,44517.68,44517.58,0.001662982,0.014967339999999999,0.01476046,0.02972782,0.04,0.05,0.05,1.0,0.001,500000,500000000
440000.0,0.04351796,33.82454,-3020.796,0.0,-2516.222,1011.7300000000001,-0.09706428,44532.979999999996,44532.88,0.0016506780000000003,0.015334420000000001,0.01503642,0.03037084,0.04,0.05,0.05,1.0,0.001,500000,500000000
450000.0,0.044492,35.187259999999995,-3070.29,0.0,-2552.648,1034.374,-0.09795358,44545.44,44545.340000000004,0.0017086480000000001,0.01570076,0.0154252,0.03112592,0.04,0.05,0.05,1.0,0.001,500000,500000000
460000.0,0.04553348,36.62536,-3117.2619999999997,0.0,-2586.8559999999998,1058.584,-0.09859824,44553.74,44553.64,0.001631728,0.0160889,0.015767999999999997,0.03185686,0.04,0.05,0.05,1.0,0.001,500000,500000000
470000.0,0.04651036000000001,38.07552,-3159.8,0.0,-2616.796,1081.296,-0.09906466,44559.63999999999,44559.54,0.0016644200000000002,0.016447339999999998,0.016128479999999997,0.03257586,0.04,0.05,0.05,1.0,0.001,500000,500000000
480000.0,0.047507940000000005,39.83292,-3204.5379999999996,0.0,-2649.232,1104.49,-0.09966068,44568.08,44567.979999999996,0.001666778,0.016831419999999996,0.01642498,0.03325636,0.04,0.05,0.05,1.0,0.001,500000,500000000
490000.0,0.048550159999999995,41.427440000000004,-3248.5319999999997,0.0,-2679.6099999999997,1128.72,-0.10005758000000001,44572.939999999995,44572.840000000004,0.0016593979999999999,0.017201719999999997,0.01683014,0.034031860000000004,0.04,0.05,0.05,1.0,0.001,500000,500000000
