timeStep,q_mean,Sq_mean,Sq_mean_norm,phi,chi_4,temp,damp,tstep,N_heat,N_isothermal
3.87e6,0.09731560440562248,1.9486627269094527,0.3607290729878613,0.01,0.05,0.05,1.0,0.001,500000,9500000
3.87e6,0.14312573712117277,2.347868763558349,0.42713961537602235,0.01,0.05,0.05,1.0,0.001,500000,9500000
3.87e6,0.23841581153825495,4.199895091020219,0.7694069529124534,0.01,0.05,0.05,1.0,0.001,500000,9500000
3.87e6,0.33485311057702105,5.294841220698248,0.9601807903807416,0.01,0.05,0.05,1.0,0.001,500000,9500000
3.87e6,0.4343952690516561,5.112172507130815,0.9262153164986255,0.01,0.05,0.05,1.0,0.001,500000,9500000
3.87e6,0.5358233857687565,4.800723822877644,0.8763087930605045,0.01,0.05,0.05,1.0,0.001,500000,9500000
3.87e6,0.6339063392655175,3.928433586515363,0.716075364983474,0.01,0.05,0.05,1.0,0.001,500000,9500000
3.87e6,0.7277837832062057,3.621510550208208,0.6602079498105868,0.01,0.05,0.05,1.0,0.001,500000,9500000
3.87e6,0.8259376414919914,3.0896552501571306,0.5632879513731809,0.01,0.05,0.05,1.0,0.001,500000,9500000
3.87e6,0.9243210918481215,2.8126963946494072,0.5132121524089595,0.01,0.05,0.05,1.0,0.001,500000,9500000
3.87e6,1.022182801803496,2.4868874551268005,0.4541757924573145,0.01,0.05,0.05,1.0,0.001,500000,9500000
3.87e6,1.1173471327217428,2.261818144393439,0.4125996751044877,0.01,0.05,0.05,1.0,0.001,500000,9500000
3.87e6,1.213688464411393,2.1280587440347407,0.3886429418898478,0.01,0.05,0.05,1.0,0.001,500000,9500000
3.87e6,1.313273450527723,1.912687913598361,0.3490518991687622,0.01,0.05,0.05,1.0,0.001,500000,9500000
3.87e6,1.4107318949698813,1.785454985934015,0.3256146021068918,0.01,0.05,0.05,1.0,0.001,500000,9500000
3.87e6,1.506640864861161,1.7014463783413614,0.3101300946612375,0.01,0.05,0.05,1.0,0.001,500000,9500000
3.87e6,1.6034451523315203,1.589536113100035,0.2901128094053057,0.01,0.05,0.05,1.0,0.001,500000,9500000
3.87e6,1.7014414145142422,1.5177842365505185,0.27671871387825164,0.01,0.05,0.05,1.0,0.001,500000,9500000
3.87e6,1.7987265555996903,1.4281471731096,0.26018964834626385,0.01,0.05,0.05,1.0,0.001,500000,9500000
3.87e6,1.8957888248253194,1.3563951834339343,0.2472110229419568,0.01,0.05,0.05,1.0,0.001,500000,9500000
3.87e6,1.9943789369970213,1.296196891001242,0.2362281833231903,0.01,0.05,0.05,1.0,0.001,500000,9500000
3.87e6,2.0914301624586282,1.2399908109591844,0.2262472242054891,0.01,0.05,0.05,1.0,0.001,500000,9500000
3.87e6,2.187082507395002,1.2058863973333507,0.21987702592724725,0.01,0.05,0.05,1.0,0.001,500000,9500000
3.87e6,2.2849417235593523,1.1419717580038293,0.20844045716320828,0.01,0.05,0.05,1.0,0.001,500000,9500000
3.87e6,2.382710404909207,1.0945845283209243,0.1995367414503861,0.01,0.05,0.05,1.0,0.001,500000,9500000
3.87e6,2.4799731415277058,1.0672209923959566,0.1945442526677979,0.01,0.05,0.05,1.0,0.001,500000,9500000
3.87e6,2.5776972027758394,1.0312987732311334,0.18798524531855715,0.01,0.05,0.05,1.0,0.001,500000,9500000
3.87e6,2.67554753703456,0.9916103764835466,0.18081492807402655,0.01,0.05,0.05,1.0,0.001,500000,9500000
3.87e6,2.772503006914722,0.9604007070711933,0.17512739885465026,0.01,0.05,0.05,1.0,0.001,500000,9500000
