timeStep,q_mean,Sq_mean,Sq_mean_norm,phi,chi_4,temp,damp,N_heat,N_isothermal
2.86e8,0.13156609811420594,88.1112218700179,0.5442288304052233,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,0.2015338053287105,161.90105512126547,1.0,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,0.33048440919936184,32.090312505521474,0.19820940933019562,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,0.45644716061900015,9.392193139028016,0.05801193285610876,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,0.5853256621140802,4.9489993320281584,0.03056804866602821,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,0.7222179895892465,3.604945246092324,0.02226634806914745,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,0.8531013822023843,2.7695692513032393,0.017106554674574573,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,0.9815345849063054,2.3192796552152246,0.014325290551553611,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,1.1143810157664553,1.9718479356541632,0.012179339623063171,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,1.2472300444008935,1.6007047887135664,0.009886932407664811,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,1.3786510877257763,1.540793769145332,0.00951688528522104,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,1.5082222929364104,1.4079591638036415,0.008696417467749462,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,1.6407675420683419,1.2700018723410018,0.007844308805707028,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,1.7753971768840855,1.169209725599182,0.007221754822557719,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,1.9070907742142216,1.086398194619889,0.006710260126508541,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,2.036771444186369,1.0450963883029911,0.006455154893957941,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,2.167234915344434,1.0222345290210975,0.006313946059557387,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,2.298744537202867,1.008136150418065,0.00622686584508644,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,2.4310222213596684,0.9363274608552795,0.005783331431373076,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,2.5630010628278725,0.9234937271773207,0.0057040624379230565,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,2.695183344485053,0.9294002429004474,0.005740544693821282,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,2.826348944355321,0.9131585344115389,0.005640225962255615,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,2.9569804629182466,0.8662612336572435,0.005350559531612721,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,3.0891826382207888,0.8247958809723637,0.005094444136602961,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,3.2204573881590615,0.809420079237314,0.00499947377508473,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,3.3520480799616283,0.7715450546965966,0.00476553444397692,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,3.484943918655699,0.7332790524895081,0.004529180195522968,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,3.6171596766995324,0.7241330247142814,0.00447268873060709,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,3.747916414398213,0.6763465563655995,0.004177530256730009,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,3.8793076180734904,0.6722110358256276,0.004151986750933371,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,4.010395561986795,0.6794425198819642,0.004196652822139146,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,4.142031264656112,0.6683136807709332,0.004127914300931268,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,4.27378467774404,0.6718300254068194,0.00414963339740814,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,4.40567052248233,0.6929613546846692,0.004280153419418017,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,4.537494701207758,0.6984782342993084,0.004314229044252623,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,4.6689632552293565,0.7154643601846351,0.004419145753242592,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,4.800852114144265,0.7496640652759435,0.0046303840621325035,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,4.931920090645265,0.7756694651702383,0.004791009327204534,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,5.063763700458891,0.819187019846175,0.005059800377660269,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,5.195341388056147,0.8281259990173653,0.005115012983683712,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,5.326102653513176,0.857435089127425,0.005296043861389278,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,5.4578382274631325,0.9018634488316635,0.0055704606011131854,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,5.589571567639883,0.9448664784274793,0.005836073629784346,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,5.721699139035791,0.9611541879558815,0.005936676491922598,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,5.854263827008047,1.0388589262157317,0.006416628510775401,0.01,0.5,0.05,1.0,500000,500000000
2.86e8,5.920474415139295,0.9843573633973332,0.006079993503810336,0.01,0.5,0.05,1.0,500000,500000000
