timeStep,q_mean,Sq_mean,Sq_mean_norm,phi,chi_4,temp,damp,tstep,time_heat,time_isothermal,Nsim
1.0e7,0.0,0.0,0.0,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,5
1.0e7,0.14848831312097854,3.1076400265024615,0.26351517110471345,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,5
1.0e7,0.2530142120927438,11.716663600203164,0.9935251789309708,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,5
1.0e7,0.3415355482457292,11.79302130300336,1.0,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,5
1.0e7,0.4374174579008819,7.110701867873278,0.6029584518822481,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,5
1.0e7,0.5380689936368985,6.254700140616789,0.5303730045008812,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,5
1.0e7,0.632846375082628,4.68464614628187,0.39723884371249446,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,5
1.0e7,0.7266096348272099,3.6832979139435045,0.31232860683508384,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,5
1.0e7,0.8260458905118582,3.477587250061992,0.29488518342422954,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,5
1.0e7,0.9241469813606845,2.8546656591645085,0.2420639788412409,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,5
1.0e7,1.0196079316659694,2.7252171644276038,0.2310872756359361,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,5
1.0e7,1.1159254902892821,2.2546032614085845,0.19118114039481965,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,5
1.0e7,1.214345149968485,2.1050724490643553,0.17850153874717845,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,5
1.0e7,1.3139531011622636,1.9327217626214368,0.16388690505708026,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,5
1.0e7,1.4112248863415786,1.9137570487653248,0.16227877484440253,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,5
1.0e7,1.5067187313929944,1.6542543137783956,0.1402740036903946,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,5
1.0e7,1.602750787023829,1.593759229826924,0.13514426785789296,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,5
1.0e7,1.7008609880522825,1.5593975059522809,0.13223053413421249,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,5
1.0e7,1.798633962255822,1.4254929337595434,0.12087597377582192,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,5
1.0e7,1.8958757049652382,1.3742632976817408,0.11653191004850924,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,5
1.0e7,0.0,0.0,0.0,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,5
