timeStep,q_mean,Sq_mean,Sq_mean_norm,phi,chi_4,temp,damp,tstep,N_heat,N_isothermal,Nsim
0.0,0.16640712653797785,0.5312841304171617,0.48346717216146257,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,0.26644652718160705,0.29889890703234206,0.2719972253483489,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,0.4146184035584643,0.41487154947028737,0.37753202730740754,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,0.5721939835905296,0.3773323341578363,0.3433714393410015,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,0.7372391047304465,0.4115083545645207,0.3744715287202539,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,0.9110485184054838,0.3728721358682284,0.33931267053745573,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,1.075891060681915,0.4232913593403974,0.38519403231561844,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,1.2405125526094756,0.4976047677581237,0.4528190400364163,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,1.4100753393638379,0.4706103302310096,0.42825417233544516,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,1.5781649628537946,0.5407008347336512,0.4920363485142346,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,1.7446683485012755,0.5469190846943811,0.4976949397504281,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,1.9084264728269837,0.5755373859381411,0.5237375191956706,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,2.073677887387049,0.6172363335337138,0.5616834526838608,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,2.2433442279603497,0.6926201763247292,0.6302825528907868,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,2.410935901692485,0.6892123784818419,0.627181465747256,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,2.5759721587773035,0.7670641879642567,0.6980264092025822,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,2.7408751778542473,0.8191090334335487,0.7453870827556617,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,2.9078190808239657,0.8414273738078099,0.765696714250976,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,3.075096969217735,0.8739569935663638,0.795298583337122,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,3.2415286478287078,0.9397721578836248,0.8551902111047793,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,3.4093960864458897,0.9692907554730202,0.8820520578750027,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,3.57536079712662,1.0173117983172688,0.925751081540407,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,3.739948284783737,1.0488298293972067,0.9544324075690047,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,3.9073893900820065,1.0869831255999927,0.9891518075430187,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,4.074087291048524,1.0357350529713163,0.9425161951955223,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,4.239973016158672,1.098904250400128,1.0,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,4.407323146499056,1.060924543863648,0.9654385661692991,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,4.574671793958157,1.0731206991655386,0.9765370356651171,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,4.740685206894386,1.0632058243582427,0.9675145254658111,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,4.9069750068880795,1.0463933599622495,0.9522152267417671,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,5.072444808144045,1.0590480319687545,0.9637309452421707,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,5.238882741566024,1.0356601209843002,0.9424480072828914,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,5.405923118956908,1.0398370364867442,0.9462489894894149,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,5.572671841390216,1.0020973788632626,0.9119059995430752,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,5.739172713052713,1.0021461720826115,0.9119504012453447,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,5.905577090220496,1.001311371263705,0.9111907346787602,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
0.0,5.990656555367199,0.7450718853874932,0.6780134712521141,0.05,0.05,0.05,1.0,0.001,500000,9500000,5
