timeStep,q_mean,Sq_mean,Sq_mean_norm,phi,chi_4,temp,damp,N_heat,N_isothermal
5.71e6,0.16640712653797785,2.8936444728727206,0.6066665971150913,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,0.26644652718160705,3.838880085258069,0.878911698543449,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,0.4146184035584643,3.573977905183232,0.8450617631883733,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,0.5721939835905296,3.014682856420396,0.7097240006955089,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,0.7372391047304465,2.4264753529772034,0.5758833369369462,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,0.9110485184054838,2.145274829000458,0.5058644080239422,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,1.075891060681915,1.7716578777409173,0.41816584540081037,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,1.2405125526094756,1.6391121915582376,0.38902378020673795,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,1.4100753393638379,1.537309168670905,0.36232163734842465,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,1.5781649628537946,1.3879235296337995,0.3290898507984383,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,1.7446683485012755,1.3499607535304878,0.31731435313697753,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,1.9084264728269837,1.2659269139917158,0.2982268217559996,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,2.073677887387049,1.1828592646010092,0.27954155643079814,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,2.2433442279603497,1.108924117686655,0.26191944941218054,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,2.410935901692485,1.0388708517630665,0.24538791147747893,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,2.5759721587773035,0.9912903641203963,0.2340436760261623,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,2.7408751778542473,0.9473081266445971,0.22391923192090354,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,2.9078190808239657,0.9115594306442696,0.21504765486328928,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,3.075096969217735,0.8702650373576027,0.20592182717577023,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,3.2415286478287078,0.8165993189430455,0.19305368484013674,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,3.4093960864458897,0.7690678292118048,0.18110958072200647,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,3.57536079712662,0.7429955912105076,0.17574243709288737,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,3.739948284783737,0.723293121946435,0.17103766333539694,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,3.9073893900820065,0.6941125105865318,0.16375306252144914,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,4.074087291048524,0.6762752480314348,0.15950221262634773,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,4.239973016158672,0.6628080830752813,0.15650780210572723,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,4.407323146499056,0.6422810750052786,0.1512963981063753,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,4.574671793958157,0.6445445860399798,0.15209915080500183,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,4.740685206894386,0.641731147683627,0.15177805508195397,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,4.9069750068880795,0.6517601731247412,0.15367789129498244,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,5.072444808144045,0.6665891972052292,0.15757256061774821,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,5.238882741566024,0.6957594006488662,0.16418047166286365,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,5.405923118956908,0.7558633803121162,0.17838320443295677,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,5.572671841390216,0.8305083461570596,0.1959923804051935,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,5.739172713052713,0.9462509301917142,0.2236099404753196,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,5.905577090220496,1.077002289436974,0.2548019226523674,0.05,0.05,0.05,1.0,500000,9500000
5.71e6,5.990656555367199,1.0830436381345638,0.2521261622877556,0.05,0.05,0.05,1.0,500000,9500000
