E_CP,E_bondP,L,N_3body,N_PP,N_dump,N_exp,N_heat,N_isothermal,N_pCL,N_pMO,N_save,Vol_CL,Vol_MO,chi_4,chi_4delta,chi_4f,chi_4o,cs,damp,file1_name,file2_name,file3_name,file4_name,m_CP,m_PT,phi,phi_delta,phi_f,phi_o,r_CP,r_bondP,r_cPP,r_cWCA,r_noInter,seed1,seed2,seed3,temp,theta_PA,theta_PB,tstep,id,dir
1.0,100.0,32.282517,128,5000,10000,5,500000,9500000,250,4750,1000,0.5516113101,0.5376050428,0.05,0.01,0.05,0.05,6,1.0,system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,1.0,1.0,0.01,0.04,0.05,0.01,1.0,0.4,0.6,1.12,0.5,75,76,77,0.05,109.4712,180.0,0.001,2026-06-26-114726_1_phi0.01_chi0.05,/run/media/franvt/rogelio/DinMol/gel-batch-3/data/2026-06-26-114726_1_phi0.01_chi0.05
1.0,100.0,32.282517,128,5000,10000,5,500000,9500000,250,4750,1000,0.5516113101,0.5376050428,0.05,0.01,0.05,0.05,6,1.0,system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,1.0,1.0,0.01,0.04,0.05,0.01,1.0,0.4,0.6,1.12,0.5,78,79,80,0.05,109.4712,180.0,0.001,2026-06-26-114728_2_phi0.01_chi0.05,/run/media/franvt/rogelio/DinMol/gel-batch-3/data/2026-06-26-114728_2_phi0.01_chi0.05
1.0,100.0,32.282517,128,5000,10000,5,500000,9500000,250,4750,1000,0.5516113101,0.5376050428,0.05,0.01,0.05,0.05,6,1.0,system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,1.0,1.0,0.01,0.04,0.05,0.01,1.0,0.4,0.6,1.12,0.5,79,80,81,0.05,109.4712,180.0,0.001,2026-06-26-114728_3_phi0.01_chi0.05,/run/media/franvt/rogelio/DinMol/gel-batch-3/data/2026-06-26-114728_3_phi0.01_chi0.05
1.0,100.0,32.282517,128,5000,10000,5,500000,9500000,250,4750,1000,0.5516113101,0.5376050428,0.05,0.01,0.05,0.05,6,1.0,system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,1.0,1.0,0.01,0.04,0.05,0.01,1.0,0.4,0.6,1.12,0.5,83,84,85,0.05,109.4712,180.0,0.001,2026-06-26-114731_4_phi0.01_chi0.05,/run/media/franvt/rogelio/DinMol/gel-batch-3/data/2026-06-26-114731_4_phi0.01_chi0.05
1.0,100.0,32.282517,128,5000,10000,5,500000,9500000,250,4750,1000,0.5516113101,0.5376050428,0.05,0.01,0.05,0.05,6,1.0,system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,1.0,1.0,0.01,0.04,0.05,0.01,1.0,0.4,0.6,1.12,0.5,84,85,86,0.05,109.4712,180.0,0.001,2026-06-26-114731_5_phi0.01_chi0.05,/run/media/franvt/rogelio/DinMol/gel-batch-3/data/2026-06-26-114731_5_phi0.01_chi0.05
1.0,100.0,18.878955,128,5000,10000,5,500000,9500000,250,4750,1000,0.5516113101,0.5376050428,0.05,0.01,0.05,0.05,6,1.0,system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,1.0,1.0,0.05,0.04,0.05,0.01,1.0,0.4,0.6,1.12,0.5,88,89,90,0.05,109.4712,180.0,0.001,2026-06-26-114735_5_phi0.05_chi0.05,/run/media/franvt/rogelio/DinMol/gel-batch-3/data/2026-06-26-114735_5_phi0.05_chi0.05
1.0,100.0,32.282517,128,5000,10000,5,500000,9500000,250,4750,1000,0.5516113101,0.5376050428,0.05,0.01,0.05,0.05,6,1.0,system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,1.0,1.0,0.01,0.04,0.05,0.01,1.0,0.4,0.6,1.12,0.5,47,48,49,0.05,109.4712,180.0,0.001,2026-06-27-101322_1_phi0.01_chi0.05,/run/media/franvt/rogelio/DinMol/gel-batch-3/data/2026-06-27-101322_1_phi0.01_chi0.05
1.0,100.0,32.282517,128,5000,10000,5,500000,9500000,250,4750,1000,0.5516113101,0.5376050428,0.05,0.01,0.05,0.05,6,1.0,system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,1.0,1.0,0.01,0.04,0.05,0.01,1.0,0.4,0.6,1.12,0.5,51,52,53,0.05,109.4712,180.0,0.001,2026-06-27-101325_2_phi0.01_chi0.05,/run/media/franvt/rogelio/DinMol/gel-batch-3/data/2026-06-27-101325_2_phi0.01_chi0.05
1.0,100.0,32.282517,128,5000,10000,5,500000,9500000,250,4750,1000,0.5516113101,0.5376050428,0.05,0.01,0.05,0.05,6,1.0,system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,1.0,1.0,0.01,0.04,0.05,0.01,1.0,0.4,0.6,1.12,0.5,52,53,54,0.05,109.4712,180.0,0.001,2026-06-27-101325_3_phi0.01_chi0.05,/run/media/franvt/rogelio/DinMol/gel-batch-3/data/2026-06-27-101325_3_phi0.01_chi0.05
1.0,100.0,32.282517,128,5000,10000,5,500000,9500000,250,4750,1000,0.5516113101,0.5376050428,0.05,0.01,0.05,0.05,6,1.0,system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,1.0,1.0,0.01,0.04,0.05,0.01,1.0,0.4,0.6,1.12,0.5,56,57,58,0.05,109.4712,180.0,0.001,2026-06-27-101328_4_phi0.01_chi0.05,/run/media/franvt/rogelio/DinMol/gel-batch-3/data/2026-06-27-101328_4_phi0.01_chi0.05
